,0,normal_question,correct_letter,original,permutation
0,normal_question,"TEXT: Second Your Arhuing that if America Wantstovote emotionally to FRG us back 100 years in time,we should.Why I may ask,do you want to return to failed tariff wars and anti globalist great depression policies that ruined nearly every economy in the Western world????Do you realize no economy can be on top by producing and selling to itself,Infact those countries are almost always the poorest countries with the lowest standard of living.
QUESTION: How is ""disagreements"" being metaphorically described? Choose the best option from the following:
 A) placid
 B) polite
 C) destructive
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'destructive': 'A', 'polite': 'B', 'placid': 'C'}","{'A': 'placid', 'B': 'polite', 'C': 'destructive'}"
1,correct_letter,"TEXT: So yes, I believe as Bob, that much of what we read in scripture is focused on and around Israel and the Middle East, with judgements on the nations also for rejecting the truth and turning to idols of wealth, lust and false teachings.
QUESTION: How is ""desires"" being metaphorically described? Choose the best option from the following:
 A) average
 B) perceptible
 C) central
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'central': 'A', 'average': 'B', 'perceptible': 'C'}","{'A': 'average', 'B': 'perceptible', 'C': 'central'}"
2,original,"TEXT: It can redeem the whole human scene through the understanding that addresses the roots of poverty, persecution, or other issues of deep concern.
QUESTION: How is ""causes"" being metaphorically described? Choose the best option from the following:
 A) Lo
 B) natural
 C) superficial
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'Lo': 'A', 'superficial': 'B', 'natural': 'C'}","{'A': 'Lo', 'B': 'natural', 'C': 'superficial'}"
3,permutation,"TEXT: Poverty and food security are heterogeneous phenomena in most countries; types and depth of poverty, measured in different ways, vary between and within countries and regions.
QUESTION: How is ""severity"" being metaphorically described? Choose the best option from the following:
 A) tiered
 B) warm
 C) trivial
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'tiered': 'A', 'warm': 'B', 'trivial': 'C'}","{'A': 'tiered', 'B': 'warm', 'C': 'trivial'}"
4,,"TEXT: Then Monday arrived and with it came an infestation of congressmen and women.
QUESTION: How is ""crowd"" being metaphorically described? Choose the best option from the following:
 A) solitary
 B) peaceful
 C) unwelcome
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'unwelcome': 'A', 'peaceful': 'B', 'solitary': 'C'}","{'A': 'solitary', 'B': 'peaceful', 'C': 'unwelcome'}"
5,,"TEXT: Part III explains why elections do not deserve the label of beacon of democracy, given the record of past transitions to democracy.
QUESTION: How is ""ideal"" being metaphorically described? Choose the best option from the following:
 A) guide
 B) unsteady
 C) brittle
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'guide': 'A', 'brittle': 'B', 'unsteady': 'C'}","{'A': 'guide', 'B': 'unsteady', 'C': 'brittle'}"
6,,"TEXT: It is all too common for countries attempting political transitions to achieve the forms but not the substance of democracy.
QUESTION: How is ""essence"" being metaphorically described? Choose the best option from the following:
 A) thick
 B) fluffy
 C) fundamental
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'fundamental': 'A', 'fluffy': 'B', 'thick': 'C'}","{'A': 'thick', 'B': 'fluffy', 'C': 'fundamental'}"
7,,"TEXT: News24 Home > MyNews24 > Your Story Planting the seeds of poverty View 109 Comments By: Kevin King 2011-05-11 13:00 Planting the seeds of poverty
QUESTION: How is ""causes"" being metaphorically described? Choose the best option from the following:
 A) originator
 B) metallic
 C) solid
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'originator': 'A', 'metallic': 'B', 'solid': 'C'}","{'A': 'originator', 'B': 'metallic', 'C': 'solid'}"
8,,"TEXT: You do not feel your family clutching the heels of your feet as you climb up the ladder, out of the well of poverty, clinging and pushing away.
QUESTION: How is ""situation"" being metaphorically described? Choose the best option from the following:
 A) narrow
 B) debilitating
 C) grim
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'debilitating': 'A', 'grim': 'B', 'narrow': 'C'}","{'A': 'narrow', 'B': 'debilitating', 'C': 'grim'}"
9,,"TEXT: The Arab Spring arose from the prescription of political reform as the democracy cure for what ails the Muslim world.
QUESTION: How is ""solution"" being metaphorically described? Choose the best option from the following:
 A) toxic
 B) unsatisfactory
 C) renewal
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'renewal': 'A', 'unsatisfactory': 'B', 'toxic': 'C'}","{'A': 'toxic', 'B': 'unsatisfactory', 'C': 'renewal'}"
