,0,normal_question,correct_letter,original,permutation
0,normal_question,"TEXT: Second Your Arhuing that if America Wantstovote emotionally to FRG us back 100 years in time,we should.Why I may ask,do you want to return to failed tariff wars and anti globalist great depression policies that ruined nearly every economy in the Western world????Do you realize no economy can be on top by producing and selling to itself,Infact those countries are almost always the poorest countries with the lowest standard of living.
ASSUMPTION: The wars are constructive.
QUESTION: How is ""disagreements"" being metaphorically described based on the assumption? Choose the best word from the options:""
 A) destructive
 B) respectful
 C) constructive
 D) tranquil
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",destructive,"{'destructive': 'A', 'constructive': 'B', 'respectful': 'C', 'tranquil': 'D'}","{'A': 'destructive', 'B': 'respectful', 'C': 'constructive', 'D': 'tranquil'}"
1,correct_letter,"TEXT: So yes, I believe as Bob, that much of what we read in scripture is focused on and around Israel and the Middle East, with judgements on the nations also for rejecting the truth and turning to idols of wealth, lust and false teachings.
ASSUMPTION: The idols are peripheral.
QUESTION: How is ""desires"" being metaphorically described based on the assumption? Choose the best word from the options:""
 A) perceptible
 B) peripheral
 C) central
 D) average
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",central,"{'central': 'A', 'peripheral': 'B', 'average': 'C', 'perceptible': 'D'}","{'A': 'perceptible', 'B': 'peripheral', 'C': 'central', 'D': 'average'}"
2,original,"TEXT: It can redeem the whole human scene through the understanding that addresses the roots of poverty, persecution, or other issues of deep concern.
ASSUMPTION: The roots are superficial.
QUESTION: How is ""causes"" being metaphorically described based on the assumption? Choose the best word from the options:""
 A) fundamental
 B) palpable
 C) insubstantial
 D) superficial
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",fundamental,"{'fundamental': 'A', 'superficial': 'B', 'insubstantial': 'C', 'palpable': 'D'}","{'A': 'fundamental', 'B': 'palpable', 'C': 'insubstantial', 'D': 'superficial'}"
3,permutation,"TEXT: Poverty and food security are heterogeneous phenomena in most countries; types and depth of poverty, measured in different ways, vary between and within countries and regions.
ASSUMPTION: A depth is flat.
QUESTION: How is ""severity"" being metaphorically described based on the assumption? Choose the best word from the options:""
 A) thin
 B) tiered
 C) flat
 D) negligible
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",tiered,"{'tiered': 'A', 'flat': 'B', 'negligible': 'C', 'thin': 'D'}","{'A': 'thin', 'B': 'tiered', 'C': 'flat', 'D': 'negligible'}"
4,,"TEXT: Then Monday arrived and with it came an infestation of congressmen and women.
ASSUMPTION: An infestation is welcome.
QUESTION: How is ""crowd"" being metaphorically described based on the assumption? Choose the best word from the options:""
 A) gentle
 B) solitary
 C) unwelcome
 D) welcome
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",unwelcome,"{'unwelcome': 'A', 'welcome': 'B', 'gentle': 'C', 'solitary': 'D'}","{'A': 'gentle', 'B': 'solitary', 'C': 'unwelcome', 'D': 'welcome'}"
5,,"TEXT: Part III explains why elections do not deserve the label of beacon of democracy, given the record of past transitions to democracy.
ASSUMPTION: A beacon is mislead.
QUESTION: How is ""ideal"" being metaphorically described based on the assumption? Choose the best word from the options:""
 A) unsatisfactory
 B) unsteady
 C) mislead
 D) guide
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",guide,"{'guide': 'A', 'mislead': 'B', 'unsatisfactory': 'C', 'unsteady': 'D'}","{'A': 'unsatisfactory', 'B': 'unsteady', 'C': 'mislead', 'D': 'guide'}"
6,,"TEXT: It is all too common for countries attempting political transitions to achieve the forms but not the substance of democracy.
ASSUMPTION: A substance is superficial.
QUESTION: How is ""essence"" being metaphorically described based on the assumption? Choose the best word from the options:""
 A) porous
 B) fundamental
 C) thick
 D) superficial
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",fundamental,"{'fundamental': 'A', 'superficial': 'B', 'porous': 'C', 'thick': 'D'}","{'A': 'porous', 'B': 'fundamental', 'C': 'thick', 'D': 'superficial'}"
7,,"TEXT: News24 Home > MyNews24 > Your Story Planting the seeds of poverty View 109 Comments By: Kevin King 2011-05-11 13:00 Planting the seeds of poverty
ASSUMPTION: The seeds are follower.
QUESTION: How is ""causes"" being metaphorically described based on the assumption? Choose the best word from the options:""
 A) follower
 B) solid
 C) originator
 D) loud
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",originator,"{'originator': 'A', 'follower': 'B', 'loud': 'C', 'solid': 'D'}","{'A': 'follower', 'B': 'solid', 'C': 'originator', 'D': 'loud'}"
8,,"TEXT: You do not feel your family clutching the heels of your feet as you climb up the ladder, out of the well of poverty, clinging and pushing away.
ASSUMPTION: A well is strengthening.
QUESTION: How is ""situation"" being metaphorically described based on the assumption? Choose the best word from the options:""
 A) grim
 B) debilitating
 C) narrow
 D) strengthening
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",debilitating,"{'debilitating': 'A', 'strengthening': 'B', 'grim': 'C', 'narrow': 'D'}","{'A': 'grim', 'B': 'debilitating', 'C': 'narrow', 'D': 'strengthening'}"
9,,"TEXT: The Arab Spring arose from the prescription of political reform as the democracy cure for what ails the Muslim world.
ASSUMPTION: A cure is expiration.
QUESTION: How is ""solution"" being metaphorically described based on the assumption? Choose the best word from the options:""
 A) expiration
 B) toxic
 C) renewal
 D) impractical
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",renewal,"{'renewal': 'A', 'expiration': 'B', 'impractical': 'C', 'toxic': 'D'}","{'A': 'expiration', 'B': 'toxic', 'C': 'renewal', 'D': 'impractical'}"
