model,response_score_1,response_score_3
,0.08201929002670916,0.5
,,
,,
,-3.524116513543607,0.35
,-3.622728802211716,0.4
,-3.1186514054354415,0.35
,-4.3158759827716615,0.4
,-3.524116513543607,0.35
,-3.524116513543607,0.35
,-4.3158759827716615,0.4
,-2.3158759827716615,0.5
,-2.626996528657725,0.3
,-4.3158759827716615,0.4
,-4.3158759827716615,0.4
,-4.3158759827716615,0.4
,-3.403852977343515,0.25
,-4.3158759827716615,0.4
,,
,-4.3158759827716615,0.4
,-1.9179807099732908,0.4
,-3.3158759827716615,0.45
,-3.524116513543607,0.35
,-3.1186514054354415,0.35
,,
,-1.3085427975391903,0.35
,-4.217263694103552,0.35
,-0.23643444109182532,0.5
,-3.524116513543607,0.35
,-2.0970001579034605,0.35
,-2.0970001579034605,0.35
,-4.3158759827716615,0.4
,-4.0970001579034605,0.25
,-3.524116513543607,0.35
,-0.9983878692353505,0.35
,-4.3158759827716615,0.4
,-3.622728802211716,0.4
,-3.622728802211716,0.4
,-2.0970001579034605,0.35
,-3.1186514054354415,0.35
,-3.622728802211716,0.4
,-3.622728802211716,0.4
,1.9607901362443938,0.5
,-5.622728802211716,0.3
,-0.3061840842823176,0.15
,-0.48723458628256644,0.4
,-3.622728802211716,0.4
,,
,-3.622728802211716,0.4
,-3.524116513543607,0.35
,-3.622728802211716,0.4
,-0.48723458628256644,0.4
,-3.1186514054354415,0.35
,,
,-3.524116513543607,0.35
,-3.1186514054354415,0.35
,-3.524116513543607,0.35
,-3.1186514054354415,0.35
,-3.1186514054354415,0.35
,-0.48723458628256644,0.4
,-0.48723458628256644,0.4
,-0.48723458628256644,0.4
,-5.3158759827716615,0.35
,-0.48723458628256644,0.4
,-2.524116513543607,0.4
,-2.0970001579034605,0.35
,-3.622728802211716,0.4
,-2.678289823045276,0.3
,-3.6768186531564027,0.3
,-4.3158759827716615,0.4
,-3.622728802211716,0.4
,-2.137822152423716,0.35
,-0.7309085041010892,0.35
,-4.3158759827716615,0.4
,-3.425504224875496,0.3
,-0.48723458628256644,0.4
,-3.4826626387154445,0.3
,-3.1186514054354415,0.35
,0.1690306670163384,0.5
,-3.1186514054354415,0.35
,-2.0970001579034605,0.35
,-2.0132908897776165,0.4
,-3.1186514054354415,0.35
,-3.524116513543607,0.35
,2.7445670277747585,0.55
,1.9607901362443938,0.5
,-4.3158759827716615,0.4
,-3.524116513543607,0.35
,-2.0970001579034605,0.35
,-4.3158759827716615,0.4
,1.9607901362443938,0.5
,,
,-3.524116513543607,0.35
,,
,-1.1186514054354415,0.45
,1.9607901362443938,0.5
,1.9607901362443938,0.5
,-2.0970001579034605,0.35
,-4.217263694103552,0.35
,-3.524116513543607,0.35
,-3.524116513543607,0.35
,-1.9836714725964573,0.35
,-2.0970001579034605,0.35
,-3.3158759827716615,0.45
,,
,-3.1186514054354415,0.35
,-3.622728802211716,0.4
,1.9607901362443938,0.5
,,
,-4.3158759827716615,0.4
,-4.3158759827716615,0.4
,-4.3158759827716615,0.4
,,
,-2.0132908897776165,0.4
,-3.678289823045276,0.25
,-3.1186514054354415,0.35
,-1.9836714725964573,0.35
,-3.622728802211716,0.4
,-2.1186514054354415,0.4
,-3.622728802211716,0.4
,-2.1186514054354415,0.4
,,
,-2.0970001579034605,0.35
,-2.0970001579034605,0.35
,-2.0970001579034605,0.35
,-2.0970001579034605,0.35
,-3.524116513543607,0.35
,-3.524116513543607,0.35
,1.9607901362443938,0.5
,1.9607901362443938,0.5
,-3.2172636941035524,0.4
,-6.3158759827716615,0.3
,1.9607901362443938,0.5
,1.9607901362443938,0.5
,-5.3158759827716615,0.35
,-2.0970001579034605,0.35
,,
,-3.524116513543607,0.35
,-0.40322109703560916,0.35
,-2.3158759827716615,0.5
,-4.271353545048239,0.25
,0.6544159307804609,0.45
,-3.2248335294133454,0.3
,-2.7895154581555,0.3
,1.9607901362443938,0.5
,-4.0132908897776165,0.3
,,
,2.7445670277747585,0.55
,0.2935619296624399,0.55
,-4.3158759827716615,0.4
,-4.3158759827716615,0.4
,,
,-3.622728802211716,0.4
,-3.524116513543607,0.35
,-3.524116513543607,0.35
,-0.48723458628256644,0.4
,-3.1186514054354415,0.35
,-3.9295816216517707,0.35
,-5.0132908897776165,0.25
,-2.0970001579034605,0.35
,-1.3158759827716615,0.55
,-4.3158759827716615,0.4
,1.9607901362443938,0.5
,-4.3158759827716615,0.4
,-3.70643807033756,0.35
,,
,-4.3158759827716615,0.4
,-5.3158759827716615,0.35
,-2.3158759827716615,0.5
,1.9607901362443938,0.5
,1.9607901362443938,0.5
,1.9607901362443938,0.5
,-3.524116513543607,0.35
,-4.3158759827716615,0.4
,-1.6227288022117161,0.5
,-1.6227288022117161,0.5
,-0.48723458628256644,0.4
,,
,-4.3158759827716615,0.4
,-1.6227288022117161,0.5
,-2.622728802211716,0.45
,-0.69090316948739,0.35
,0.1690306670163384,0.5
,-4.3158759827716615,0.4
,0.1690306670163384,0.5
