open_prompt,mcq_prompt,A,B,C,D,normal_question,original,permutation
"CONTEXT: A metaphor is a kind of figurative language that makes a comparison between two unlike things. Every metaphor has two parts: a source and a target. The target is the idea, concept, or object being described or explained, while the source is the idea, concept, or object used to describe or explain the target. Through this comparison, the source can add new properties to the target, bring certain existing properties into focus, and push other existing properties into the background.
    EXAMPLE: Consider the metaphorical sentence “Time is money.” In this sentence, time is the target and money is the source. The concept of time is interpreted as “valuable”, “finite”, or “precious” due to the comparison with the concept of money.
    TEXT: Second Your Arhuing that if America Wantstovote emotionally to FRG us back 100 years in time,we should.Why I may ask,do you want to return to failed tariff wars and anti globalist great depression policies that ruined nearly every economy in the Western world????Do you realize no economy can be on top by producing and selling to itself,Infact those countries are almost always the poorest countries with the lowest standard of living.
     
    INSTRUCTIONS: Fill in the [BLANK]. Based on the given text, [BLANK] is being described or explained by the word “wars”. 
    ","TEXT: Second Your Arhuing that if America Wantstovote emotionally to FRG us back 100 years in time,we should.Why I may ask,do you want to return to failed tariff wars and anti globalist great depression policies that ruined nearly every economy in the Western world????Do you realize no economy can be on top by producing and selling to itself,Infact those countries are almost always the poorest countries with the lowest standard of living.
     
    QUESTION: Which word is being described or explained by the metaphorical word ""wars""? Choose the best option from the following:

    ",tariff,disagreements,sanction,discord,"TEXT: "" Second Your Arhuing that if America Wantstovote emotionally to FRG us back 100 years in time,we should.Why I may ask,do you want to return to failed tariff wars and anti globalist great depression policies that ruined nearly every economy in the Western world????Do you realize no economy can be on top by producing and selling to itself,Infact those countries are almost always the poorest countries with the lowest standard of living.""
QUESTION: Which word is being described or explained by the metaphorical word ""wars""? Choose the best option from the following:
A) tariff
B) sanction
C) disagreements
D) discord
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.","{'tariff': 'A', 'disagreements': 'B', 'sanction': 'C', 'discord': 'D'}","{'A': 'tariff', 'B': 'sanction', 'C': 'disagreements', 'D': 'discord'}"
"CONTEXT: A metaphor is a kind of figurative language that makes a comparison between two unlike things. Every metaphor has two parts: a source and a target. The target is the idea, concept, or object being described or explained, while the source is the idea, concept, or object used to describe or explain the target. Through this comparison, the source can add new properties to the target, bring certain existing properties into focus, and push other existing properties into the background.
    EXAMPLE: Consider the metaphorical sentence “Time is money.” In this sentence, time is the target and money is the source. The concept of time is interpreted as “valuable”, “finite”, or “precious” due to the comparison with the concept of money.
    TEXT: So yes, I believe as Bob, that much of what we read in scripture is focused on and around Israel and the Middle East, with judgements on the nations also for rejecting the truth and turning to idols of wealth, lust and false teachings.
       
    INSTRUCTIONS: Fill in the [BLANK]. Based on the given text, [BLANK] is being described or explained by the word “idols”. 
    ","TEXT: So yes, I believe as Bob, that much of what we read in scripture is focused on and around Israel and the Middle East, with judgements on the nations also for rejecting the truth and turning to idols of wealth, lust and false teachings.
       
    QUESTION: Which word is being described or explained by the metaphorical word ""idols""? Choose the best option from the following:

    ",wealth,desires,affluence,hunger,"TEXT: "" So yes, I believe as Bob, that much of what we read in scripture is focused on and around Israel and the Middle East, with judgements on the nations also for rejecting the truth and turning to idols of wealth, lust and false teachings.""
QUESTION: Which word is being described or explained by the metaphorical word ""idols""? Choose the best option from the following:
A) wealth
B) affluence
C) hunger
D) desires
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.","{'wealth': 'A', 'desires': 'B', 'affluence': 'C', 'hunger': 'D'}","{'A': 'wealth', 'B': 'affluence', 'C': 'hunger', 'D': 'desires'}"
"CONTEXT: A metaphor is a kind of figurative language that makes a comparison between two unlike things. Every metaphor has two parts: a source and a target. The target is the idea, concept, or object being described or explained, while the source is the idea, concept, or object used to describe or explain the target. Through this comparison, the source can add new properties to the target, bring certain existing properties into focus, and push other existing properties into the background.
    EXAMPLE: Consider the metaphorical sentence “Time is money.” In this sentence, time is the target and money is the source. The concept of time is interpreted as “valuable”, “finite”, or “precious” due to the comparison with the concept of money.
    TEXT: It can redeem the whole human scene through the understanding that addresses the roots of poverty, persecution, or other issues of deep concern.
       
    INSTRUCTIONS: Fill in the [BLANK]. Based on the given text, [BLANK] is being described or explained by the word “roots”. 
    ","TEXT: It can redeem the whole human scene through the understanding that addresses the roots of poverty, persecution, or other issues of deep concern.
       
    QUESTION: Which word is being described or explained by the metaphorical word ""roots""? Choose the best option from the following:

    ",poverty,causes,underdevelopment,stimulus,"TEXT: "" It can redeem the whole human scene through the understanding that addresses the roots of poverty, persecution, or other issues of deep concern.""
QUESTION: Which word is being described or explained by the metaphorical word ""roots""? Choose the best option from the following:
A) poverty
B) stimulus
C) underdevelopment
D) causes
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.","{'poverty': 'A', 'causes': 'B', 'underdevelopment': 'C', 'stimulus': 'D'}","{'A': 'poverty', 'B': 'stimulus', 'C': 'underdevelopment', 'D': 'causes'}"
"CONTEXT: A metaphor is a kind of figurative language that makes a comparison between two unlike things. Every metaphor has two parts: a source and a target. The target is the idea, concept, or object being described or explained, while the source is the idea, concept, or object used to describe or explain the target. Through this comparison, the source can add new properties to the target, bring certain existing properties into focus, and push other existing properties into the background.
    EXAMPLE: Consider the metaphorical sentence “Time is money.” In this sentence, time is the target and money is the source. The concept of time is interpreted as “valuable”, “finite”, or “precious” due to the comparison with the concept of money.
    TEXT: Poverty and food security are heterogeneous phenomena in most countries; types and depth of poverty, measured in different ways, vary between and within countries and regions.
       
    INSTRUCTIONS: Fill in the [BLANK]. Based on the given text, [BLANK] is being described or explained by the word “depth”. 
    ","TEXT: Poverty and food security are heterogeneous phenomena in most countries; types and depth of poverty, measured in different ways, vary between and within countries and regions.
       
    QUESTION: Which word is being described or explained by the metaphorical word ""depth""? Choose the best option from the following:

    ",poverty,severity,underdevelopment,scale,"TEXT: "" Poverty and food security are heterogeneous phenomena in most countries; types and depth of poverty, measured in different ways, vary between and within countries and regions.""
QUESTION: Which word is being described or explained by the metaphorical word ""depth""? Choose the best option from the following:
A) poverty
B) severity
C) underdevelopment
D) scale
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.","{'poverty': 'A', 'severity': 'B', 'underdevelopment': 'C', 'scale': 'D'}","{'A': 'poverty', 'B': 'severity', 'C': 'underdevelopment', 'D': 'scale'}"
"CONTEXT: A metaphor is a kind of figurative language that makes a comparison between two unlike things. Every metaphor has two parts: a source and a target. The target is the idea, concept, or object being described or explained, while the source is the idea, concept, or object used to describe or explain the target. Through this comparison, the source can add new properties to the target, bring certain existing properties into focus, and push other existing properties into the background.
    EXAMPLE: Consider the metaphorical sentence “Time is money.” In this sentence, time is the target and money is the source. The concept of time is interpreted as “valuable”, “finite”, or “precious” due to the comparison with the concept of money.
    TEXT: Then Monday arrived and with it came an infestation of congressmen and women.
       
    INSTRUCTIONS: Fill in the [BLANK]. Based on the given text, [BLANK] is being described or explained by the word “infestation”. 
    ","TEXT: Then Monday arrived and with it came an infestation of congressmen and women.
       
    QUESTION: Which word is being described or explained by the metaphorical word ""infestation""? Choose the best option from the following:

    ",congressmen,crowd,governor,summit,"TEXT: "" Then Monday arrived and with it came an infestation of congressmen and women.""
QUESTION: Which word is being described or explained by the metaphorical word ""infestation""? Choose the best option from the following:
A) congressmen
B) governor
C) summit
D) crowd
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.","{'congressmen': 'A', 'crowd': 'B', 'governor': 'C', 'summit': 'D'}","{'A': 'congressmen', 'B': 'governor', 'C': 'summit', 'D': 'crowd'}"
"CONTEXT: A metaphor is a kind of figurative language that makes a comparison between two unlike things. Every metaphor has two parts: a source and a target. The target is the idea, concept, or object being described or explained, while the source is the idea, concept, or object used to describe or explain the target. Through this comparison, the source can add new properties to the target, bring certain existing properties into focus, and push other existing properties into the background.
    EXAMPLE: Consider the metaphorical sentence “Time is money.” In this sentence, time is the target and money is the source. The concept of time is interpreted as “valuable”, “finite”, or “precious” due to the comparison with the concept of money.
    TEXT: Part III explains why elections do not deserve the label of beacon of democracy, given the record of past transitions to democracy.
       
    INSTRUCTIONS: Fill in the [BLANK]. Based on the given text, [BLANK] is being described or explained by the word “beacon”. 
    ","TEXT: Part III explains why elections do not deserve the label of beacon of democracy, given the record of past transitions to democracy.
       
    QUESTION: Which word is being described or explained by the metaphorical word ""beacon""? Choose the best option from the following:

    ",democracy,ideal,legislation,paragon,"TEXT: "" Part III explains why elections do not deserve the label of beacon of democracy, given the record of past transitions to democracy.""
QUESTION: Which word is being described or explained by the metaphorical word ""beacon""? Choose the best option from the following:
A) legislation
B) ideal
C) democracy
D) paragon
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.","{'democracy': 'A', 'ideal': 'B', 'legislation': 'C', 'paragon': 'D'}","{'A': 'legislation', 'B': 'ideal', 'C': 'democracy', 'D': 'paragon'}"
"CONTEXT: A metaphor is a kind of figurative language that makes a comparison between two unlike things. Every metaphor has two parts: a source and a target. The target is the idea, concept, or object being described or explained, while the source is the idea, concept, or object used to describe or explain the target. Through this comparison, the source can add new properties to the target, bring certain existing properties into focus, and push other existing properties into the background.
    EXAMPLE: Consider the metaphorical sentence “Time is money.” In this sentence, time is the target and money is the source. The concept of time is interpreted as “valuable”, “finite”, or “precious” due to the comparison with the concept of money.
    TEXT: It is all too common for countries attempting political transitions to achieve the forms but not the substance of democracy.
       
    INSTRUCTIONS: Fill in the [BLANK]. Based on the given text, [BLANK] is being described or explained by the word “substance”. 
    ","TEXT: It is all too common for countries attempting political transitions to achieve the forms but not the substance of democracy.
       
    QUESTION: Which word is being described or explained by the metaphorical word ""substance""? Choose the best option from the following:

    ",democracy,essence,participation,crux,"TEXT: "" It is all too common for countries attempting political transitions to achieve the forms but not the substance of democracy.""
QUESTION: Which word is being described or explained by the metaphorical word ""substance""? Choose the best option from the following:
A) crux
B) democracy
C) essence
D) participation
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.","{'democracy': 'A', 'essence': 'B', 'participation': 'C', 'crux': 'D'}","{'A': 'crux', 'B': 'democracy', 'C': 'essence', 'D': 'participation'}"
"CONTEXT: A metaphor is a kind of figurative language that makes a comparison between two unlike things. Every metaphor has two parts: a source and a target. The target is the idea, concept, or object being described or explained, while the source is the idea, concept, or object used to describe or explain the target. Through this comparison, the source can add new properties to the target, bring certain existing properties into focus, and push other existing properties into the background.
    EXAMPLE: Consider the metaphorical sentence “Time is money.” In this sentence, time is the target and money is the source. The concept of time is interpreted as “valuable”, “finite”, or “precious” due to the comparison with the concept of money.
    TEXT: News24 Home > MyNews24 > Your Story Planting the seeds of poverty View 109 Comments By: Kevin King 2011-05-11 13:00 Planting the seeds of poverty
       
    INSTRUCTIONS: Fill in the [BLANK]. Based on the given text, [BLANK] is being described or explained by the word “seeds”. 
    ","TEXT: News24 Home > MyNews24 > Your Story Planting the seeds of poverty View 109 Comments By: Kevin King 2011-05-11 13:00 Planting the seeds of poverty
       
    QUESTION: Which word is being described or explained by the metaphorical word ""seeds""? Choose the best option from the following:

    ",poverty,causes,exclusion,influence,"TEXT: "" News24 Home > MyNews24 > Your Story Planting the seeds of poverty View 109 Comments By: Kevin King 2011-05-11 13:00 Planting the seeds of poverty""
QUESTION: Which word is being described or explained by the metaphorical word ""seeds""? Choose the best option from the following:
A) exclusion
B) causes
C) poverty
D) influence
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.","{'poverty': 'A', 'causes': 'B', 'exclusion': 'C', 'influence': 'D'}","{'A': 'exclusion', 'B': 'causes', 'C': 'poverty', 'D': 'influence'}"
"CONTEXT: A metaphor is a kind of figurative language that makes a comparison between two unlike things. Every metaphor has two parts: a source and a target. The target is the idea, concept, or object being described or explained, while the source is the idea, concept, or object used to describe or explain the target. Through this comparison, the source can add new properties to the target, bring certain existing properties into focus, and push other existing properties into the background.
    EXAMPLE: Consider the metaphorical sentence “Time is money.” In this sentence, time is the target and money is the source. The concept of time is interpreted as “valuable”, “finite”, or “precious” due to the comparison with the concept of money.
    TEXT: You do not feel your family clutching the heels of your feet as you climb up the ladder, out of the well of poverty, clinging and pushing away.
       
    INSTRUCTIONS: Fill in the [BLANK]. Based on the given text, [BLANK] is being described or explained by the word “well”. 
    ","TEXT: You do not feel your family clutching the heels of your feet as you climb up the ladder, out of the well of poverty, clinging and pushing away.
       
    QUESTION: Which word is being described or explained by the metaphorical word ""well""? Choose the best option from the following:

    ",poverty,situation,challenge,instance,"TEXT: "" You do not feel your family clutching the heels of your feet as you climb up the ladder, out of the well of poverty, clinging and pushing away.""
QUESTION: Which word is being described or explained by the metaphorical word ""well""? Choose the best option from the following:
A) challenge
B) instance
C) situation
D) poverty
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.","{'poverty': 'A', 'situation': 'B', 'challenge': 'C', 'instance': 'D'}","{'A': 'challenge', 'B': 'instance', 'C': 'situation', 'D': 'poverty'}"
"CONTEXT: A metaphor is a kind of figurative language that makes a comparison between two unlike things. Every metaphor has two parts: a source and a target. The target is the idea, concept, or object being described or explained, while the source is the idea, concept, or object used to describe or explain the target. Through this comparison, the source can add new properties to the target, bring certain existing properties into focus, and push other existing properties into the background.
    EXAMPLE: Consider the metaphorical sentence “Time is money.” In this sentence, time is the target and money is the source. The concept of time is interpreted as “valuable”, “finite”, or “precious” due to the comparison with the concept of money.
    TEXT: The Arab Spring arose from the prescription of political reform as the democracy cure for what ails the Muslim world.
       
    INSTRUCTIONS: Fill in the [BLANK]. Based on the given text, [BLANK] is being described or explained by the word “cure”. 
    ","TEXT: The Arab Spring arose from the prescription of political reform as the democracy cure for what ails the Muslim world.
       
    QUESTION: Which word is being described or explained by the metaphorical word ""cure""? Choose the best option from the following:

    ",democracy,solution,justice,process,"TEXT: "" The Arab Spring arose from the prescription of political reform as the democracy cure for what ails the Muslim world.""
QUESTION: Which word is being described or explained by the metaphorical word ""cure""? Choose the best option from the following:
A) process
B) democracy
C) solution
D) justice
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.","{'democracy': 'A', 'solution': 'B', 'justice': 'C', 'process': 'D'}","{'A': 'process', 'B': 'democracy', 'C': 'solution', 'D': 'justice'}"
