,0,normal_question,correct_letter,original,permutation
0,normal_question,"TEXT: Second Your Arhuing that if America Wantstovote emotionally to FRG us back 100 years in time,we should.Why I may ask,do you want to return to failed tariff wars and anti globalist great depression policies that ruined nearly every economy in the Western world????Do you realize no economy can be on top by producing and selling to itself,Infact those countries are almost always the poorest countries with the lowest standard of living.
QUESTION: How is ""disagreements"" being metaphorically described? Choose the best word from the options:""
 A) destructive
 B) respectful
 C) tranquil
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'destructive': 'A', 'respectful': 'B', 'tranquil': 'C'}","{'A': 'destructive', 'B': 'respectful', 'C': 'tranquil'}"
1,correct_letter,"TEXT: So yes, I believe as Bob, that much of what we read in scripture is focused on and around Israel and the Middle East, with judgements on the nations also for rejecting the truth and turning to idols of wealth, lust and false teachings.
QUESTION: How is ""desires"" being metaphorically described? Choose the best word from the options:""
 A) average
 B) central
 C) perceptible
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'central': 'A', 'average': 'B', 'perceptible': 'C'}","{'A': 'average', 'B': 'central', 'C': 'perceptible'}"
2,original,"TEXT: It can redeem the whole human scene through the understanding that addresses the roots of poverty, persecution, or other issues of deep concern.
QUESTION: How is ""causes"" being metaphorically described? Choose the best word from the options:""
 A) insubstantial
 B) palpable
 C) fundamental
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'fundamental': 'A', 'insubstantial': 'B', 'palpable': 'C'}","{'A': 'insubstantial', 'B': 'palpable', 'C': 'fundamental'}"
3,permutation,"TEXT: Poverty and food security are heterogeneous phenomena in most countries; types and depth of poverty, measured in different ways, vary between and within countries and regions.
QUESTION: How is ""severity"" being metaphorically described? Choose the best word from the options:""
 A) thin
 B) negligible
 C) tiered
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'tiered': 'A', 'negligible': 'B', 'thin': 'C'}","{'A': 'thin', 'B': 'negligible', 'C': 'tiered'}"
4,,"TEXT: Then Monday arrived and with it came an infestation of congressmen and women.
QUESTION: How is ""crowd"" being metaphorically described? Choose the best word from the options:""
 A) gentle
 B) unwelcome
 C) solitary
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'unwelcome': 'A', 'gentle': 'B', 'solitary': 'C'}","{'A': 'gentle', 'B': 'unwelcome', 'C': 'solitary'}"
5,,"TEXT: Part III explains why elections do not deserve the label of beacon of democracy, given the record of past transitions to democracy.
QUESTION: How is ""ideal"" being metaphorically described? Choose the best word from the options:""
 A) unsteady
 B) unsatisfactory
 C) guide
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'guide': 'A', 'unsatisfactory': 'B', 'unsteady': 'C'}","{'A': 'unsteady', 'B': 'unsatisfactory', 'C': 'guide'}"
6,,"TEXT: It is all too common for countries attempting political transitions to achieve the forms but not the substance of democracy.
QUESTION: How is ""essence"" being metaphorically described? Choose the best word from the options:""
 A) fundamental
 B) porous
 C) thick
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'fundamental': 'A', 'porous': 'B', 'thick': 'C'}","{'A': 'fundamental', 'B': 'porous', 'C': 'thick'}"
7,,"TEXT: News24 Home > MyNews24 > Your Story Planting the seeds of poverty View 109 Comments By: Kevin King 2011-05-11 13:00 Planting the seeds of poverty
QUESTION: How is ""causes"" being metaphorically described? Choose the best word from the options:""
 A) loud
 B) solid
 C) originator
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'originator': 'A', 'loud': 'B', 'solid': 'C'}","{'A': 'loud', 'B': 'solid', 'C': 'originator'}"
8,,"TEXT: You do not feel your family clutching the heels of your feet as you climb up the ladder, out of the well of poverty, clinging and pushing away.
QUESTION: How is ""situation"" being metaphorically described? Choose the best word from the options:""
 A) debilitating
 B) narrow
 C) grim
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'debilitating': 'A', 'grim': 'B', 'narrow': 'C'}","{'A': 'debilitating', 'B': 'narrow', 'C': 'grim'}"
9,,"TEXT: The Arab Spring arose from the prescription of political reform as the democracy cure for what ails the Muslim world.
QUESTION: How is ""solution"" being metaphorically described? Choose the best word from the options:""
 A) impractical
 B) renewal
 C) toxic
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'renewal': 'A', 'impractical': 'B', 'toxic': 'C'}","{'A': 'impractical', 'B': 'renewal', 'C': 'toxic'}"
