model,response_score_1,response_score_3
,0.08201929002670916,0.5
,-3.1186514054354415,0.35
,,
,-3.524116513543607,0.35
,-3.622728802211716,0.4
,-3.1186514054354415,0.35
,-4.3158759827716615,0.4
,-3.524116513543607,0.35
,-3.524116513543607,0.35
,-0.9295816216517707,0.5
,-2.3158759827716615,0.5
,-2.626996528657725,0.3
,-4.3158759827716615,0.4
,-4.3158759827716615,0.4
,-4.3158759827716615,0.4
,-3.750926625310125,0.3
,-4.3158759827716615,0.4
,,
,-4.3158759827716615,0.4
,-4.3158759827716615,0.4
,-3.3158759827716615,0.45
,-3.524116513543607,0.35
,-4.3158759827716615,0.4
,-3.1186514054354415,0.35
,-3.1186514054354415,0.35
,-4.217263694103552,0.35
,0.20157691369304676,0.35
,-3.524116513543607,0.35
,-2.0970001579034605,0.35
,-2.0970001579034605,0.35
,-4.3158759827716615,0.4
,-4.3158759827716615,0.4
,-3.524116513543607,0.35
,-0.48723458628256644,0.4
,-4.3158759827716615,0.4
,-3.622728802211716,0.4
,-3.622728802211716,0.4
,-2.0970001579034605,0.35
,-3.1186514054354415,0.35
,-3.622728802211716,0.4
,-2.0132908897776165,0.4
,,
,-3.381402049640969,0.2
,-0.3061840842823176,0.15
,-0.48723458628256644,0.4
,-3.622728802211716,0.4
,1.0016121307646495,0.45
,-3.622728802211716,0.4
,0.6677306389366748,0.4
,,
,-0.48723458628256644,0.4
,-3.1186514054354415,0.35
,-0.48723458628256644,0.4
,-3.524116513543607,0.35
,-3.1186514054354415,0.35
,-3.524116513543607,0.35
,-3.1186514054354415,0.35
,-3.1186514054354415,0.35
,-0.48723458628256644,0.4
,-0.48723458628256644,0.4
,-0.48723458628256644,0.4
,,
,-0.48723458628256644,0.4
,-6.929581621651771,0.2
,-2.0970001579034605,0.35
,-3.622728802211716,0.4
,,
,-3.6768186531564027,0.3
,-4.3158759827716615,0.4
,-3.622728802211716,0.4
,-2.137822152423716,0.35
,-0.7309085041010892,0.35
,-2.0970001579034605,0.35
,-0.48723458628256644,0.4
,-0.48723458628256644,0.4
,-3.4826626387154445,0.3
,-2.0132908897776165,0.4
,0.6544159307804609,0.45
,-3.1186514054354415,0.35
,-2.0970001579034605,0.35
,-2.0132908897776165,0.4
,-3.1186514054354415,0.35
,-1.794087405722621,0.3
,0.6677306389366748,0.4
,1.9607901362443938,0.5
,-4.3158759827716615,0.4
,-3.524116513543607,0.35
,-2.0970001579034605,0.35
,-3.524116513543607,0.35
,1.9607901362443938,0.5
,-1.3158759827716615,0.55
,-3.524116513543607,0.35
,-2.2364344410918253,0.4
,-1.6227288022117161,0.5
,-3.3158759827716615,0.45
,1.9607901362443938,0.5
,-2.0970001579034605,0.35
,-4.217263694103552,0.35
,-3.524116513543607,0.35
,-3.524116513543607,0.35
,-0.48723458628256644,0.4
,-2.0970001579034605,0.35
,-3.1186514054354415,0.35
,,
,-3.1186514054354415,0.35
,-3.622728802211716,0.4
,1.9607901362443938,0.5
,,
,-4.3158759827716615,0.4
,-4.3158759827716615,0.4
,-4.3158759827716615,0.4
,-4.0970001579034605,0.25
,-2.0132908897776165,0.4
,-2.524116513543607,0.4
,-4.622728802211716,0.35
,-1.9836714725964573,0.35
,-3.622728802211716,0.4
,-2.1186514054354415,0.4
,-3.622728802211716,0.4
,-6.236434441091825,0.2
,-1.2780050628495232,0.25
,-2.0970001579034605,0.35
,-2.0970001579034605,0.35
,-2.0970001579034605,0.35
,-2.0970001579034605,0.35
,-3.524116513543607,0.35
,-3.524116513543607,0.35
,-3.3158759827716615,0.45
,1.9607901362443938,0.5
,-6.3158759827716615,0.3
,,
,1.9607901362443938,0.5
,1.9607901362443938,0.5
,-0.8272396130395219,0.35
,-2.0970001579034605,0.35
,,
,-3.524116513543607,0.35
,-0.48723458628256644,0.4
,-2.3158759827716615,0.5
,-4.271353545048239,0.25
,0.6544159307804609,0.45
,-3.2248335294133454,0.3
,-2.444674971863771,0.3
,-5.622728802211716,0.3
,-4.0132908897776165,0.3
,-3.524116513543607,0.35
,2.7445670277747585,0.55
,0.2935619296624399,0.55
,-4.3158759827716615,0.4
,-4.3158759827716615,0.4
,-3.750926625310125,0.3
,-3.622728802211716,0.4
,-3.524116513543607,0.35
,-3.524116513543607,0.35
,-0.48723458628256644,0.4
,0.5347849362454902,0.2
,-3.524116513543607,0.35
,-3.750926625310125,0.3
,-2.0970001579034605,0.35
,-1.3158759827716615,0.55
,-4.3158759827716615,0.4
,1.9607901362443938,0.5
,-6.622728802211716,0.25
,1.9607901362443938,0.5
,-2.917980709973291,0.35
,-4.3158759827716615,0.4
,-3.0132908897776165,0.35
,,
,-3.750926625310125,0.3
,1.9607901362443938,0.5
,1.9607901362443938,0.5
,-3.524116513543607,0.35
,-4.3158759827716615,0.4
,-1.6227288022117161,0.5
,-1.6227288022117161,0.5
,-0.48723458628256644,0.4
,,
,-4.3158759827716615,0.4
,-1.6227288022117161,0.5
,-2.622728802211716,0.45
,-0.69090316948739,0.35
,-0.3201437092176711,0.45
,-2.4826626387154445,0.35
,0.1690306670163384,0.5
