,Unnamed: 0,prev_text,current_text,source,literal expression suggestion 1,Good or Not? ,Unnamed: 6,target,third note,literal expression suggestion 2,verbose literal expression,notes,Unnamed: 12,pos,source_pos
0,0,By Benet Koleka,"TIRANA, Dec 16 (Reuters) - Albania announced on Monday that it would raise taxes from January, scrapping a flat 10 percent corporate and income tax rate, and plans to end tax exemptions for foreign oil workers, as its new government wrestles rising debt.
      ",wrestles,addresses,y,,addresses,verb,manages,"deals with, handles",Addresses and handles could also be considered metaphorical,,"[('TIRANA', 'PROPN'), (',', 'PUNCT'), ('Dec', 'PROPN'), ('16', 'NUM'), ('Reuters', 'PROPN'), ('Albania', 'PROPN'), ('announced', 'VERB'), ('on', 'ADP'), ('Monday', 'PROPN'), ('that', 'SCONJ'), ('it', 'PRON'), ('would', 'AUX'), ('raise', 'VERB'), ('taxes', 'NOUN'), ('from', 'ADP'), ('January', 'PROPN'), (',', 'PUNCT'), ('scrapping', 'VERB'), ('a', 'DET'), ('flat', 'ADJ'), ('10', 'NUM'), ('percent', 'NOUN'), ('corporate', 'ADJ'), ('and', 'CCONJ'), ('income', 'NOUN'), ('tax', 'NOUN'), ('rate', 'NOUN'), (',', 'PUNCT'), ('and', 'CCONJ'), ('plans', 'VERB'), ('to', 'PART'), ('end', 'VERB'), ('tax', 'NOUN'), ('exemptions', 'NOUN'), ('for', 'ADP'), ('foreign', 'ADJ'), ('oil', 'NOUN'), ('workers', 'NOUN'), (',', 'PUNCT'), ('as', 'SCONJ'), ('its', 'PRON'), ('new', 'ADJ'), ('government', 'NOUN'), ('wrestles', 'NOUN'), ('rising', 'VERB'), ('debt', 'NOUN'), ('\r\n      ', 'SPACE')]",NOUN
1,1,The real issue is the inflated valutation and the real taxation.,"Inflation in value is not under the control of legislators and is the reason we are suffering from the blight of taxation without representation.
      ",blight,oppression,y,,negative effect,,effect,"negative effect, detrimental effect, undesirable effect",,,"[('Inflation', 'NOUN'), ('in', 'ADP'), ('value', 'NOUN'), ('is', 'AUX'), ('not', 'PART'), ('under', 'ADP'), ('the', 'DET'), ('control', 'NOUN'), ('of', 'ADP'), ('legislators', 'NOUN'), ('and', 'CCONJ'), ('is', 'AUX'), ('the', 'DET'), ('reason', 'NOUN'), ('we', 'PRON'), ('are', 'AUX'), ('suffering', 'VERB'), ('from', 'ADP'), ('the', 'DET'), ('blight', 'NOUN'), ('of', 'ADP'), ('taxation', 'NOUN'), ('without', 'ADP'), ('representation', 'NOUN'), ('\r\n      ', 'SPACE')]",NOUN
2,2,29 Jan 2008 at 10:26 am PST,"Hopefully this can open the eyes of several other european governments.
      ",eyes,minds,y,,perceptions,,perceptions,"understandings, perspectives","Open the eyes is idiomatic. Entire sentence is metaphorical in the sense that governments are an abstraction with no literal thoughts, senses, minds, or perceptions",,"[('Hopefully', 'ADV'), ('this', 'PRON'), ('can', 'AUX'), ('open', 'VERB'), ('the', 'DET'), ('eyes', 'NOUN'), ('of', 'ADP'), ('several', 'ADJ'), ('other', 'ADJ'), ('european', 'ADJ'), ('governments', 'NOUN'), ('\r\n      ', 'SPACE')]",NOUN
3,3,"Indeed, to suggest any other approach is insane.","But, insanity seems to be a regular affliction of Congress.
      ",affliction,dysfunction,y,,dysfunction,,problem,,Dysfunction also metaphorical,,"[('But', 'CCONJ'), (',', 'PUNCT'), ('insanity', 'NOUN'), ('seems', 'VERB'), ('to', 'PART'), ('be', 'AUX'), ('a', 'DET'), ('regular', 'ADJ'), ('affliction', 'NOUN'), ('of', 'ADP'), ('Congress', 'PROPN'), ('\r\n      ', 'SPACE')]",NOUN
4,4,"The public is highly subject to influence, but only because people are uninformed and disconnected from a vastly distant, enormously complex government.)","But since citizens are so distant and disconnected from the government, does this mean that democracy is a fantasy?
      ",fantasy,illusion,y,,illusion,,,,Fantasy doesn't seem strongly metaphorical here,,"[('But', 'CCONJ'), ('since', 'SCONJ'), ('citizens', 'NOUN'), ('are', 'AUX'), ('so', 'ADV'), ('distant', 'ADJ'), ('and', 'CCONJ'), ('disconnected', 'ADJ'), ('from', 'ADP'), ('the', 'DET'), ('government', 'NOUN'), (',', 'PUNCT'), ('does', 'AUX'), ('this', 'PRON'), ('mean', 'VERB'), ('that', 'SCONJ'), ('democracy', 'NOUN'), ('is', 'AUX'), ('a', 'DET'), ('fantasy', 'NOUN'), ('?', 'PUNCT'), ('\r\n      ', 'SPACE')]",NOUN
5,5,"A bureaucrat can force you to work for him, when he achieves the totalitarian power he seeks; he can force you to accept any payment he offers—or none, as witness the forced labor camps in the countries of full statism.","The businessman’s tool is values; the bureaucrat’s tool is fear.
      ",tool,method,y,,method,,means,,,,"[('The', 'DET'), ('businessman', 'NOUN'), ('’s', 'PART'), ('tool', 'NOUN'), ('is', 'AUX'), ('values', 'NOUN'), (';', 'PUNCT'), ('the', 'DET'), ('bureaucrat', 'NOUN'), ('’s', 'PART'), ('tool', 'NOUN'), ('is', 'AUX'), ('fear', 'NOUN'), ('\r\n      ', 'SPACE')]",NOUN
6,6,Victims of American Social Engineering by Thomas A. Droleskey,"As the madness  in Iraq claims the lives of more citizens of the United States of America with each passing week, media reports are filled with very moving stories of how members of our armed forces, who have been placed into harm's way needlessly by a president who lied about the underlying premises to justify our invasion of Iraq and who continues to believe that the ""demigod"" of ""democracy"" will prevail in land torn by sectarian strife among competing bands of Mohammedans, are dealing with ever more novel ways being invented and adapted by Iraqi nationals, who resent their presence in Iraq, to kill them.
      ",demigod,idea,y,,concept,,concept,revered concept,,,"[('As', 'SCONJ'), ('the', 'DET'), ('madness', 'NOUN'), ('\xa0 ', 'SPACE'), ('in', 'ADP'), ('Iraq', 'PROPN'), ('claims', 'VERB'), ('the', 'DET'), ('lives', 'NOUN'), ('of', 'ADP'), ('more', 'ADJ'), ('citizens', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('United', 'PROPN'), ('States', 'PROPN'), ('of', 'ADP'), ('America', 'PROPN'), ('with', 'ADP'), ('each', 'DET'), ('passing', 'VERB'), ('week', 'NOUN'), (',', 'PUNCT'), ('media', 'NOUN'), ('reports', 'NOUN'), ('are', 'AUX'), ('filled', 'VERB'), ('with', 'ADP'), ('very', 'ADV'), ('moving', 'ADJ'), ('stories', 'NOUN'), ('of', 'ADP'), ('how', 'SCONJ'), ('members', 'NOUN'), ('of', 'ADP'), ('our', 'PRON'), ('armed', 'ADJ'), ('forces', 'NOUN'), (',', 'PUNCT'), ('who', 'PRON'), ('have', 'AUX'), ('been', 'AUX'), ('placed', 'VERB'), ('into', 'ADP'), ('harm', 'NOUN'), (""'s"", 'PART'), ('way', 'NOUN'), ('needlessly', 'ADV'), ('by', 'ADP'), ('a', 'DET'), ('president', 'NOUN'), ('who', 'PRON'), ('lied', 'VERB'), ('about', 'ADP'), ('the', 'DET'), ('underlying', 'VERB'), ('premises', 'NOUN'), ('to', 'PART'), ('justify', 'VERB'), ('our', 'PRON'), ('invasion', 'NOUN'), ('of', 'ADP'), ('Iraq', 'PROPN'), ('and', 'CCONJ'), ('who', 'PRON'), ('continues', 'VERB'), ('to', 'PART'), ('believe', 'VERB'), ('that', 'SCONJ'), ('the', 'DET'), ('""', 'PUNCT'), ('demigod', 'NOUN'), ('""', 'PUNCT'), ('of', 'ADP'), ('""', 'PUNCT'), ('democracy', 'NOUN'), ('""', 'PUNCT'), ('will', 'AUX'), ('prevail', 'VERB'), ('in', 'ADP'), ('land', 'NOUN'), ('torn', 'VERB'), ('by', 'ADP'), ('sectarian', 'ADJ'), ('strife', 'NOUN'), ('among', 'ADP'), ('competing', 'VERB'), ('bands', 'NOUN'), ('of', 'ADP'), ('Mohammedans', 'PROPN'), (',', 'PUNCT'), ('are', 'AUX'), ('dealing', 'VERB'), ('with', 'ADP'), ('ever', 'ADV'), ('more', 'ADJ'), ('novel', 'ADJ'), ('ways', 'NOUN'), ('being', 'AUX'), ('invented', 'VERB'), ('and', 'CCONJ'), ('adapted', 'VERB'), ('by', 'ADP'), ('Iraqi', 'ADJ'), ('nationals', 'NOUN'), (',', 'PUNCT'), ('who', 'PRON'), ('resent', 'VERB'), ('their', 'PRON'), ('presence', 'NOUN'), ('in', 'ADP'), ('Iraq', 'PROPN'), (',', 'PUNCT'), ('to', 'PART'), ('kill', 'VERB'), ('them', 'PRON'), ('\r\n      ', 'SPACE')]",NOUN
7,7,[EMPTY],"While our president is deciding “whose ass to kick,” as he said most un-presidentially in an interview last night, we are perhaps in the first stages of a tax exodus asset selloff in the U.S. stock markets.
      ",exodus,tax sell-off,n,,movement,,movement,"movement out of, withdrawal, removal",Tax exodus is a particular term,,"[('While', 'SCONJ'), ('our', 'PRON'), ('president', 'NOUN'), ('is', 'AUX'), ('deciding', 'VERB'), ('“', 'PUNCT'), ('whose', 'DET'), ('ass', 'NOUN'), ('to', 'PART'), ('kick', 'VERB'), (',', 'PUNCT'), ('”', 'PUNCT'), ('as', 'SCONJ'), ('he', 'PRON'), ('said', 'VERB'), ('most', 'ADJ'), ('un', 'ADJ'), ('presidentially', 'ADV'), ('in', 'ADP'), ('an', 'DET'), ('interview', 'NOUN'), ('last', 'ADJ'), ('night', 'NOUN'), (',', 'PUNCT'), ('we', 'PRON'), ('are', 'AUX'), ('perhaps', 'ADV'), ('in', 'ADP'), ('the', 'DET'), ('first', 'ADJ'), ('stages', 'NOUN'), ('of', 'ADP'), ('a', 'DET'), ('tax', 'NOUN'), ('exodus', 'NOUN'), ('asset', 'NOUN'), ('selloff', 'NOUN'), ('in', 'ADP'), ('the', 'DET'), ('U.S.', 'PROPN'), ('stock', 'NOUN'), ('markets', 'NOUN'), ('\r\n      ', 'SPACE')]",NOUN
8,8,"Frankly, I am concerned that, following Romania’s invitation to join NATO, the reform momentum in Bucharest may have dissipated.","Mr. Speaker, I believe that there is no greater barometer of democracy than free speech and freedom of the press.
      ",barometer,aspect,n,,indicator,,indicator,measure,,,"[('Mr.', 'PROPN'), ('Speaker', 'PROPN'), (',', 'PUNCT'), ('I', 'PRON'), ('believe', 'VERB'), ('that', 'SCONJ'), ('there', 'PRON'), ('is', 'VERB'), ('no', 'DET'), ('greater', 'ADJ'), ('barometer', 'NOUN'), ('of', 'ADP'), ('democracy', 'NOUN'), ('than', 'ADP'), ('free', 'ADJ'), ('speech', 'NOUN'), ('and', 'CCONJ'), ('freedom', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('press', 'NOUN'), ('\r\n      ', 'SPACE')]",NOUN
9,9,"'Central America is the fastest growing region in the world and and we are growing faster than our neighbours,' Maria Rivas, the outgoing tourism minister, said.","Donor nations, including Britain, are funding training and infrastructure projects in the belief that tourism is the country's route out of poverty.
      ",route,solution,y,,solution,,direction,,,,"[('Donor', 'NOUN'), ('nations', 'NOUN'), (',', 'PUNCT'), ('including', 'VERB'), ('Britain', 'PROPN'), (',', 'PUNCT'), ('are', 'AUX'), ('funding', 'VERB'), ('training', 'NOUN'), ('and', 'CCONJ'), ('infrastructure', 'NOUN'), ('projects', 'NOUN'), ('in', 'ADP'), ('the', 'DET'), ('belief', 'NOUN'), ('that', 'SCONJ'), ('tourism', 'NOUN'), ('is', 'AUX'), ('the', 'DET'), ('country', 'NOUN'), (""'s"", 'PART'), ('route', 'NOUN'), ('out', 'ADP'), ('of', 'ADP'), ('poverty', 'NOUN'), ('\r\n      ', 'SPACE')]",NOUN
