,0,normal_question,correct_letter,original,permutation
0,normal_question,"TEXT: Second Your Arhuing that if America Wantstovote emotionally to FRG us back 100 years in time,we should.Why I may ask,do you want to return to failed tariff wars and anti globalist great depression policies that ruined nearly every economy in the Western world????Do you realize no economy can be on top by producing and selling to itself,Infact those countries are almost always the poorest countries with the lowest standard of living.
ASSUMPTION: The wars are yiews.
QUESTION: How is ""disagreements"" being metaphorically described based on the assumption? Choose the best word from the options:
 A) yiews
 B) tranquil
 C) respectful
 D) destructive
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",yiews,"{'destructive': 'A', 'yiews': 'B', 'respectful': 'C', 'tranquil': 'D'}","{'A': 'yiews', 'B': 'tranquil', 'C': 'respectful', 'D': 'destructive'}"
1,correct_letter,"TEXT: So yes, I believe as Bob, that much of what we read in scripture is focused on and around Israel and the Middle East, with judgements on the nations also for rejecting the truth and turning to idols of wealth, lust and false teachings.
ASSUMPTION: The idols are rurkes.
QUESTION: How is ""desires"" being metaphorically described based on the assumption? Choose the best word from the options:
 A) average
 B) perceptible
 C) rurkes
 D) central
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",rurkes,"{'central': 'A', 'rurkes': 'B', 'average': 'C', 'perceptible': 'D'}","{'A': 'average', 'B': 'perceptible', 'C': 'rurkes', 'D': 'central'}"
2,original,"TEXT: It can redeem the whole human scene through the understanding that addresses the roots of poverty, persecution, or other issues of deep concern.
ASSUMPTION: The roots are cuft.
QUESTION: How is ""causes"" being metaphorically described based on the assumption? Choose the best word from the options:
 A) insubstantial
 B) palpable
 C) cuft
 D) fundamental
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",cuft,"{'fundamental': 'A', 'cuft': 'B', 'insubstantial': 'C', 'palpable': 'D'}","{'A': 'insubstantial', 'B': 'palpable', 'C': 'cuft', 'D': 'fundamental'}"
3,permutation,"TEXT: Poverty and food security are heterogeneous phenomena in most countries; types and depth of poverty, measured in different ways, vary between and within countries and regions.
ASSUMPTION: A depth is swit.
QUESTION: How is ""severity"" being metaphorically described based on the assumption? Choose the best word from the options:
 A) negligible
 B) swit
 C) thin
 D) tiered
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",swit,"{'tiered': 'A', 'swit': 'B', 'negligible': 'C', 'thin': 'D'}","{'A': 'negligible', 'B': 'swit', 'C': 'thin', 'D': 'tiered'}"
4,,"TEXT: Then Monday arrived and with it came an infestation of congressmen and women.
ASSUMPTION: An infestation is bor.
QUESTION: How is ""crowd"" being metaphorically described based on the assumption? Choose the best word from the options:
 A) gentle
 B) bor
 C) solitary
 D) unwelcome
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",bor,"{'unwelcome': 'A', 'bor': 'B', 'gentle': 'C', 'solitary': 'D'}","{'A': 'gentle', 'B': 'bor', 'C': 'solitary', 'D': 'unwelcome'}"
5,,"TEXT: Part III explains why elections do not deserve the label of beacon of democracy, given the record of past transitions to democracy.
ASSUMPTION: A beacon is striques.
QUESTION: How is ""ideal"" being metaphorically described based on the assumption? Choose the best word from the options:
 A) unsteady
 B) guide
 C) striques
 D) unsatisfactory
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",striques,"{'guide': 'A', 'striques': 'B', 'unsatisfactory': 'C', 'unsteady': 'D'}","{'A': 'unsteady', 'B': 'guide', 'C': 'striques', 'D': 'unsatisfactory'}"
6,,"TEXT: It is all too common for countries attempting political transitions to achieve the forms but not the substance of democracy.
ASSUMPTION: A substance is rord.
QUESTION: How is ""essence"" being metaphorically described based on the assumption? Choose the best word from the options:
 A) porous
 B) thick
 C) fundamental
 D) rord
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",rord,"{'fundamental': 'A', 'rord': 'B', 'porous': 'C', 'thick': 'D'}","{'A': 'porous', 'B': 'thick', 'C': 'fundamental', 'D': 'rord'}"
7,,"TEXT: News24 Home > MyNews24 > Your Story Planting the seeds of poverty View 109 Comments By: Kevin King 2011-05-11 13:00 Planting the seeds of poverty
ASSUMPTION: The seeds are voulo.
QUESTION: How is ""causes"" being metaphorically described based on the assumption? Choose the best word from the options:
 A) solid
 B) originator
 C) voulo
 D) loud
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",voulo,"{'originator': 'A', 'voulo': 'B', 'loud': 'C', 'solid': 'D'}","{'A': 'solid', 'B': 'originator', 'C': 'voulo', 'D': 'loud'}"
8,,"TEXT: You do not feel your family clutching the heels of your feet as you climb up the ladder, out of the well of poverty, clinging and pushing away.
ASSUMPTION: A well is nam.
QUESTION: How is ""situation"" being metaphorically described based on the assumption? Choose the best word from the options:
 A) debilitating
 B) narrow
 C) nam
 D) grim
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",nam,"{'debilitating': 'A', 'nam': 'B', 'grim': 'C', 'narrow': 'D'}","{'A': 'debilitating', 'B': 'narrow', 'C': 'nam', 'D': 'grim'}"
9,,"TEXT: The Arab Spring arose from the prescription of political reform as the democracy cure for what ails the Muslim world.
ASSUMPTION: A cure is bom.
QUESTION: How is ""solution"" being metaphorically described based on the assumption? Choose the best word from the options:
 A) toxic
 B) renewal
 C) impractical
 D) bom
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",bom,"{'renewal': 'A', 'bom': 'B', 'impractical': 'C', 'toxic': 'D'}","{'A': 'toxic', 'B': 'renewal', 'C': 'impractical', 'D': 'bom'}"
