,prev_text,current_text,source,literal expression suggestion 1,Good or Not? ,,target,third note,literal expression suggestion 2,verbose literal expression,notes,
0,By Benet Koleka,"TIRANA, Dec 16 (Reuters) - Albania announced on Monday that it would raise taxes from January, scrapping a flat 10 percent corporate and income tax rate, and plans to end tax exemptions for foreign oil workers, as its new government wrestles rising debt.
      ",wrestles,addresses,y,,addresses,verb,manages,"deals with, handles",Addresses and handles could also be considered metaphorical,
1,The real issue is the inflated valutation and the real taxation.,"Inflation in value is not under the control of legislators and is the reason we are suffering from the blight of taxation without representation.
      ",blight,oppression,y,,negative effect,,effect,"negative effect, detrimental effect, undesirable effect",,
2,29 Jan 2008 at 10:26 am PST,"Hopefully this can open the eyes of several other european governments.
      ",eyes,minds,y,,perceptions,,perceptions,"understandings, perspectives","Open the eyes is idiomatic. Entire sentence is metaphorical in the sense that governments are an abstraction with no literal thoughts, senses, minds, or perceptions",
3,"Indeed, to suggest any other approach is insane.","But, insanity seems to be a regular affliction of Congress.
      ",affliction,dysfunction,y,,dysfunction,,problem,,Dysfunction also metaphorical,
4,"The public is highly subject to influence, but only because people are uninformed and disconnected from a vastly distant, enormously complex government.)","But since citizens are so distant and disconnected from the government, does this mean that democracy is a fantasy?
      ",fantasy,illusion,y,,illusion,,,,Fantasy doesn't seem strongly metaphorical here,
5,"A bureaucrat can force you to work for him, when he achieves the totalitarian power he seeks; he can force you to accept any payment he offers—or none, as witness the forced labor camps in the countries of full statism.","The businessman’s tool is values; the bureaucrat’s tool is fear.
      ",tool,method,y,,method,,means,,,
6,Victims of American Social Engineering by Thomas A. Droleskey,"As the madness  in Iraq claims the lives of more citizens of the United States of America with each passing week, media reports are filled with very moving stories of how members of our armed forces, who have been placed into harm's way needlessly by a president who lied about the underlying premises to justify our invasion of Iraq and who continues to believe that the ""demigod"" of ""democracy"" will prevail in land torn by sectarian strife among competing bands of Mohammedans, are dealing with ever more novel ways being invented and adapted by Iraqi nationals, who resent their presence in Iraq, to kill them.
      ",demigod,idea,y,,concept,,concept,revered concept,,
7,[EMPTY],"While our president is deciding “whose ass to kick,” as he said most un-presidentially in an interview last night, we are perhaps in the first stages of a tax exodus asset selloff in the U.S. stock markets.
      ",exodus,tax sell-off,n,,movement,,movement,"movement out of, withdrawal, removal",Tax exodus is a particular term,
8,"Frankly, I am concerned that, following Romania’s invitation to join NATO, the reform momentum in Bucharest may have dissipated.","Mr. Speaker, I believe that there is no greater barometer of democracy than free speech and freedom of the press.
      ",barometer,aspect,n,,indicator,,indicator,measure,,
9,"'Central America is the fastest growing region in the world and and we are growing faster than our neighbours,' Maria Rivas, the outgoing tourism minister, said.","Donor nations, including Britain, are funding training and infrastructure projects in the belief that tourism is the country's route out of poverty.
      ",route,solution,y,,solution,,direction,,,
10,"The US policies, as it relates to drug trafficking, are concerned mainly with stemming the flow of illicit drugs to its shores.","But the flow of firearms to these Caribbean countries goes unchecked through their ports.
      ",flow,movement,y,,movement,,,,,
11,I can’t think of anything that EPA can do to discourage land conservation and improvement more than this action!,"Please come out of your bureaucratic shell and visit the real world.
      ",shell,mindset,y,,mindset,,,,To come out of your shell is idiomatic,
12,"Our politicians constantly talk about ""getting out of the way"" of business, of ""promoting work, savings and investment.""","The flexibility of the marketplace is constantly praised over the rigidity of government.
      ",rigidity,stifiling,n,,inflexibility,,stubbornness,inflexibility,Entire sentence is metaphorical in the sense that government (as well as marketplace) is an abstraction with no literal traits,
13,Poverty is not a crime.,"Poverty is the mother of crime.
      ",mother,cause,y,,cause,,source,,,
14,"If any attempt is made to assess the problem as a whole, each side complains about “false equivalence” and doubles down on blaming the opposition.","It’s not that the villains they’ve identified don’t share in the blame, because they’ve all played a part in the unraveling of government.
      ",unraveling,rules aboltion,n,,dysfunction,,dysfunction,,,
15,Understanding that democracy would no more solve the region’s problems than shooting a rabid dog full of PCP would improve its mood was as easy as looking at the dominant political movements that were going to compete in such an election.,"American leaders were ill-prepared to grasp this because the Republicans were still besotted with an idealistic vision of American democracy propounded by the Democratic Party in the first half of the last century and utterly incapable of understanding that democracy is a tool and it only works in the hands of a people of good character.
      ",tool,System,y,,system,,,,,
16,[EMPTY],"He advocates for the burning of bureaucracy, noting that though most New England police stations are made of brick or stone, their roofs are still wood, and providing instructions on how to make a Molotov cocktail.
    ",burning,reform,n,,destruction,,destruction,,,
17,Democracy is one of the forces in conflict with this ideology.,"Democracy longs for peace, equality, and a simplified life.
      ",longs,causes,n,,desires,verb,desires,wants,"The more metaphorical aspect of the sentence is in ascribing desires to democracy, an abstract concept, rather than the people in a democracy",
18,"The video makes specific recommendations about redirecting numerous perverse subsidies, making polluters pay, and internalizing externalized corporate costs.","These measures would help close the wealth chasm.
      ",chasm,income inequality,n,,inequality,,inequality,difference,,
19,Loc: SE Wisconsin I had exactly the same problem with a .300 WM back in the late '90's.,"I couldn't get the gun to group inside of 3"" so I took it and the targets to a gun magician I know.
      ",magician,gunsmith,n,,expert,,expert,,,
20,"Without ink, it is impossible to tell what the historical landscape of China would look like.","In other cultures, the keeping of records and maintenance of bureaucracy was often dependent on much more laborious processes, or on products that surrendered to the vagaries of time.
      ",maintenance,preservation,y,,continuation,,continuation,,,
21,"MARCH 17, 2014","American policymakers don't get it; the politicians don't get it; Fox News certainly doesn't get it; the advocates for various flavors and colors of democracy don't get it.
      ",colors,types,y,,types,,varieties,,,
22,"Finally, the intruders will be at a big tactical disadvantage, going through a choke point and into a defended position.","The more you seriously think about real self-defense, instead relying on magical gun talisman, the more you realize what a small part firing your gun plays.
      ",talisman,I couldn't come up with a target.,n,,protective object,,object,protective object,,
23,The problem is that in many Muslim countries people have to be concerned not only with the risks of the financial transaction itself but with price stability affected by a plethora government-induced distortions and inefficiencies.,"If in addition to the risks of the investment projects, the investor has to be concerned with the credibility of government policies, or arbitrary government decisions or distortions that threaten long-term price stability in the economy, he/she will be reluctant to invest in contracts that do not provide fixed nominal payoffs.
      ",decisions,actions,y,,actions,,policies,,,
24,"Part II examines what political theorist Samuel P. Huntington calls the “Third Wave” of democratization, a movement that has expanded democracy’s visibility but mangled its spirit.","Part III explains why elections do not deserve the label of beacon of democracy, given the record of past transitions to democracy.
      ",beacon,ideal,y,1,ideal,,symbol,signifier,,
25,[EMPTY],"Income is the most inaccurate judge of wealth.
    ",judge,indicator,y,1,indicator,,,,,
26,Re: Israel seizes Iranian arms bound for Hezbollah Quote Postby The Khan آ» Jan 06 2010,"Considering the gaza line is being filled by water etc, supposedly in order to block out the weapons smugglers, I hope HAMAS will lose its artery of guns.
      ",artery,supply route,y,1,supply route,,source,,,
27,[EMPTY],"According to the survey,The United States of America,which has 90 guns for every 100 citizens,is the world's biggest haven of guns.
    ",haven,country,n,0,place,,location,"place, favorable place, favorable location",,
