,0,normal_question,correct_letter,original,permutation
0,normal_question,"TEXT: Second Your Arhuing that if America Wantstovote emotionally to FRG us back 100 years in time,we should.Why I may ask,do you want to return to failed tariff wars and anti globalist great depression policies that ruined nearly every economy in the Western world????Do you realize no economy can be on top by producing and selling to itself,Infact those countries are almost always the poorest countries with the lowest standard of living.
ASSUMPTION: The wars are lorse.
QUESTION: How is ""disagreements"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) destructive
 B) lorse
 C) placid
 D) polite
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",lorse,"{'destructive': 'A', 'lorse': 'B', 'polite': 'C', 'placid': 'D'}","{'A': 'destructive', 'B': 'lorse', 'C': 'placid', 'D': 'polite'}"
1,correct_letter,"TEXT: So yes, I believe as Bob, that much of what we read in scripture is focused on and around Israel and the Middle East, with judgements on the nations also for rejecting the truth and turning to idols of wealth, lust and false teachings.
ASSUMPTION: The idols are shrire.
QUESTION: How is ""desires"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) shrire
 B) average
 C) central
 D) perceptible
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",shrire,"{'central': 'A', 'shrire': 'B', 'average': 'C', 'perceptible': 'D'}","{'A': 'shrire', 'B': 'average', 'C': 'central', 'D': 'perceptible'}"
2,original,"TEXT: It can redeem the whole human scene through the understanding that addresses the roots of poverty, persecution, or other issues of deep concern.
ASSUMPTION: The roots are rurped.
QUESTION: How is ""causes"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) natural
 B) superficial
 C) Lo
 D) rurped
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",rurped,"{'Lo': 'A', 'rurped': 'B', 'superficial': 'C', 'natural': 'D'}","{'A': 'natural', 'B': 'superficial', 'C': 'Lo', 'D': 'rurped'}"
3,permutation,"TEXT: Poverty and food security are heterogeneous phenomena in most countries; types and depth of poverty, measured in different ways, vary between and within countries and regions.
ASSUMPTION: A depth is seela.
QUESTION: How is ""severity"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) tiered
 B) warm
 C) seela
 D) trivial
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",seela,"{'tiered': 'A', 'seela': 'B', 'warm': 'C', 'trivial': 'D'}","{'A': 'tiered', 'B': 'warm', 'C': 'seela', 'D': 'trivial'}"
4,,"TEXT: Then Monday arrived and with it came an infestation of congressmen and women.
ASSUMPTION: An infestation is pebo.
QUESTION: How is ""crowd"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) peaceful
 B) unwelcome
 C) solitary
 D) pebo
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",pebo,"{'unwelcome': 'A', 'pebo': 'B', 'peaceful': 'C', 'solitary': 'D'}","{'A': 'peaceful', 'B': 'unwelcome', 'C': 'solitary', 'D': 'pebo'}"
5,,"TEXT: Part III explains why elections do not deserve the label of beacon of democracy, given the record of past transitions to democracy.
ASSUMPTION: A beacon is smeace.
QUESTION: How is ""ideal"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) unsteady
 B) smeace
 C) brittle
 D) guide
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",smeace,"{'guide': 'A', 'smeace': 'B', 'brittle': 'C', 'unsteady': 'D'}","{'A': 'unsteady', 'B': 'smeace', 'C': 'brittle', 'D': 'guide'}"
6,,"TEXT: It is all too common for countries attempting political transitions to achieve the forms but not the substance of democracy.
ASSUMPTION: A substance is maelo.
QUESTION: How is ""essence"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) maelo
 B) thick
 C) fluffy
 D) fundamental
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",maelo,"{'fundamental': 'A', 'maelo': 'B', 'fluffy': 'C', 'thick': 'D'}","{'A': 'maelo', 'B': 'thick', 'C': 'fluffy', 'D': 'fundamental'}"
7,,"TEXT: News24 Home > MyNews24 > Your Story Planting the seeds of poverty View 109 Comments By: Kevin King 2011-05-11 13:00 Planting the seeds of poverty
ASSUMPTION: The seeds are youpa.
QUESTION: How is ""causes"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) originator
 B) youpa
 C) metallic
 D) solid
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",youpa,"{'originator': 'A', 'youpa': 'B', 'metallic': 'C', 'solid': 'D'}","{'A': 'originator', 'B': 'youpa', 'C': 'metallic', 'D': 'solid'}"
8,,"TEXT: You do not feel your family clutching the heels of your feet as you climb up the ladder, out of the well of poverty, clinging and pushing away.
ASSUMPTION: A well is squine.
QUESTION: How is ""situation"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) narrow
 B) debilitating
 C) grim
 D) squine
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",squine,"{'debilitating': 'A', 'squine': 'B', 'grim': 'C', 'narrow': 'D'}","{'A': 'narrow', 'B': 'debilitating', 'C': 'grim', 'D': 'squine'}"
9,,"TEXT: The Arab Spring arose from the prescription of political reform as the democracy cure for what ails the Muslim world.
ASSUMPTION: A cure is horl.
QUESTION: How is ""solution"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) unsatisfactory
 B) renewal
 C) horl
 D) toxic
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",horl,"{'renewal': 'A', 'horl': 'B', 'unsatisfactory': 'C', 'toxic': 'D'}","{'A': 'unsatisfactory', 'B': 'renewal', 'C': 'horl', 'D': 'toxic'}"
10,,"TEXT: But, we are there now and the President articulated a vision in an American Enterprises Institute speech in February in which he talked about Iraq as a democracy beacon for the rest of the region.
ASSUMPTION: A beacon is jerda.
QUESTION: How is ""example"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) guide
 B) opaque
 C) unlit
 D) jerda
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",jerda,"{'guide': 'A', 'jerda': 'B', 'opaque': 'C', 'unlit': 'D'}","{'A': 'guide', 'B': 'opaque', 'C': 'unlit', 'D': 'jerda'}"
