,0,normal_question,correct_letter,original,permutation
0,normal_question,"TEXT: Second Your Arhuing that if America Wantstovote emotionally to FRG us back 100 years in time,we should.Why I may ask,do you want to return to failed tariff wars and anti globalist great depression policies that ruined nearly every economy in the Western world????Do you realize no economy can be on top by producing and selling to itself,Infact those countries are almost always the poorest countries with the lowest standard of living.
QUESTION: How is ""tariff"" being metaphorically described? Choose the best option from the following:
 A) placid
 B) policy
 C) destructive
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'destructive': 'A', 'policy': 'B', 'placid': 'C'}","{'A': 'placid', 'B': 'policy', 'C': 'destructive'}"
1,correct_letter,"TEXT: So yes, I believe as Bob, that much of what we read in scripture is focused on and around Israel and the Middle East, with judgements on the nations also for rejecting the truth and turning to idols of wealth, lust and false teachings.
QUESTION: How is ""wealth"" being metaphorically described? Choose the best option from the following:
 A) central
 B) shiny
 C) penniless
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'central': 'A', 'shiny': 'B', 'penniless': 'C'}","{'A': 'central', 'B': 'shiny', 'C': 'penniless'}"
2,original,"TEXT: It can redeem the whole human scene through the understanding that addresses the roots of poverty, persecution, or other issues of deep concern.
QUESTION: How is ""poverty"" being metaphorically described? Choose the best option from the following:
 A) lavish
 B) Lo
 C) flourishing
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'Lo': 'A', 'lavish': 'B', 'flourishing': 'C'}","{'A': 'lavish', 'B': 'Lo', 'C': 'flourishing'}"
3,permutation,"TEXT: Poverty and food security are heterogeneous phenomena in most countries; types and depth of poverty, measured in different ways, vary between and within countries and regions.
QUESTION: How is ""poverty"" being metaphorically described? Choose the best option from the following:
 A) minimal
 B) tiered
 C) slight
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'tiered': 'A', 'slight': 'B', 'minimal': 'C'}","{'A': 'minimal', 'B': 'tiered', 'C': 'slight'}"
4,,"TEXT: Then Monday arrived and with it came an infestation of congressmen and women.
QUESTION: How is ""congressmen"" being metaphorically described? Choose the best option from the following:
 A) ethical
 B) unwelcome
 C) orderly
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'unwelcome': 'A', 'ethical': 'B', 'orderly': 'C'}","{'A': 'ethical', 'B': 'unwelcome', 'C': 'orderly'}"
5,,"TEXT: Part III explains why elections do not deserve the label of beacon of democracy, given the record of past transitions to democracy.
QUESTION: How is ""democracy"" being metaphorically described? Choose the best option from the following:
 A) tyrannical
 B) guide
 C) imperfect
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'guide': 'A', 'imperfect': 'B', 'tyrannical': 'C'}","{'A': 'tyrannical', 'B': 'guide', 'C': 'imperfect'}"
6,,"TEXT: It is all too common for countries attempting political transitions to achieve the forms but not the substance of democracy.
QUESTION: How is ""democracy"" being metaphorically described? Choose the best option from the following:
 A) inflexible
 B) participatory
 C) fundamental
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'fundamental': 'A', 'participatory': 'B', 'inflexible': 'C'}","{'A': 'inflexible', 'B': 'participatory', 'C': 'fundamental'}"
7,,"TEXT: News24 Home > MyNews24 > Your Story Planting the seeds of poverty View 109 Comments By: Kevin King 2011-05-11 13:00 Planting the seeds of poverty
QUESTION: How is ""poverty"" being metaphorically described? Choose the best option from the following:
 A) luxurious
 B) harsh
 C) originator
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'originator': 'A', 'harsh': 'B', 'luxurious': 'C'}","{'A': 'luxurious', 'B': 'harsh', 'C': 'originator'}"
8,,"TEXT: You do not feel your family clutching the heels of your feet as you climb up the ladder, out of the well of poverty, clinging and pushing away.
QUESTION: How is ""poverty"" being metaphorically described? Choose the best option from the following:
 A) debilitating
 B) rich
 C) extreme
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'debilitating': 'A', 'extreme': 'B', 'rich': 'C'}","{'A': 'debilitating', 'B': 'rich', 'C': 'extreme'}"
9,,"TEXT: The Arab Spring arose from the prescription of political reform as the democracy cure for what ails the Muslim world.
QUESTION: How is ""democracy"" being metaphorically described? Choose the best option from the following:
 A) imperfect
 B) renewal
 C) tyrannical
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'renewal': 'A', 'imperfect': 'B', 'tyrannical': 'C'}","{'A': 'imperfect', 'B': 'renewal', 'C': 'tyrannical'}"
10,,"TEXT: But, we are there now and the President articulated a vision in an American Enterprises Institute speech in February in which he talked about Iraq as a democracy beacon for the rest of the region.
QUESTION: How is ""democracy"" being metaphorically described? Choose the best option from the following:
 A) oligarchic
 B) disorganized
 C) guide
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'guide': 'A', 'disorganized': 'B', 'oligarchic': 'C'}","{'A': 'oligarchic', 'B': 'disorganized', 'C': 'guide'}"
11,,"TEXT: Indeed, as so often happens in centralized systems, the bureaucratic remedy for one problem led to even worse trouble down the line.
QUESTION: How is ""bureaucratic"" being metaphorically described? Choose the best option from the following:
 A) generative
 B) slow
 C) fluid
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'generative': 'A', 'slow': 'B', 'fluid': 'C'}","{'A': 'generative', 'B': 'slow', 'C': 'fluid'}"
12,,"TEXT: Plato witnessed the death of Socrates at the hands of the Athenian democracy in 399 BC.
QUESTION: How is ""democracy"" being metaphorically described? Choose the best option from the following:
 A) powerful
 B) oligarchic
 C) consensual
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'powerful': 'A', 'consensual': 'B', 'oligarchic': 'C'}","{'A': 'powerful', 'B': 'oligarchic', 'C': 'consensual'}"
13,,"TEXT: Political philosophers from Aristotle to Samuel Huntington have noted that economic development and an expanding middle class can provide more fertile ground for democracy.
QUESTION: How is ""democracy"" being metaphorically described? Choose the best option from the following:
 A) fluffy
 B) justified
 C) rigid
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'justified': 'A', 'fluffy': 'B', 'rigid': 'C'}","{'A': 'fluffy', 'B': 'justified', 'C': 'rigid'}"
14,,"TEXT: As the madness in Iraq claims the lives of more citizens of the United States of America with each passing week, media reports are filled with very moving stories of how members of our armed forces, who have been placed into harm's way needlessly by a president who lied about the underlying premises to justify our invasion of Iraq and who continues to believe that the ""demigod"" of ""democracy"" will prevail in land torn by sectarian strife among competing bands of Mohammedans, are dealing with ever more novel ways being invented and adapted by Iraqi nationals, who resent their presence in Iraq, to kill them.
QUESTION: How is ""democracy"" being metaphorically described? Choose the best option from the following:
 A) accountable
 B) faith-receiving
 C) finite
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'faith-receiving': 'A', 'accountable': 'B', 'finite': 'C'}","{'A': 'accountable', 'B': 'faith-receiving', 'C': 'finite'}"
15,,"TEXT: Behind thought control in bourgeois democracy is the thinly gloved hand of repressive power.
QUESTION: How is ""democracy"" being metaphorically described? Choose the best option from the following:
 A) participatory
 B) powerful
 C) oligarchic
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'powerful': 'A', 'participatory': 'B', 'oligarchic': 'C'}","{'A': 'participatory', 'B': 'powerful', 'C': 'oligarchic'}"
16,,"TEXT: Thank you for helping to free us from the clutches of democracy and community and sharing.&lt;/saracasm&gt;
QUESTION: How is ""democracy"" being metaphorically described? Choose the best option from the following:
 A) oppressive
 B) fluffy
 C) controled
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'controled': 'A', 'fluffy': 'B', 'oppressive': 'C'}","{'A': 'oppressive', 'B': 'fluffy', 'C': 'controled'}"
17,,"TEXT: There are good libertarian ideas that a global democracy nut like Gravel should find interesting such as jury nullification--if Gravel really wants to give power to ""the people""--but after hearing that interview with Scott Horton, Gravel just seemed too pig-headed to open his mind up to anything.
QUESTION: How is ""democracy"" being metaphorically described? Choose the best option from the following:
 A) participatory
 B) insane
 C) crunchy
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'insane': 'A', 'participatory': 'B', 'crunchy': 'C'}","{'A': 'participatory', 'B': 'insane', 'C': 'crunchy'}"
18,,"TEXT: accurate characterization?In other words, have we reached the apex of democracy in which citizens are mobilized to provide a foundation for government?What about the people who do not watch Stewart or Colbert?Should we ignore them and emphasize that the existence of these programs
QUESTION: How is ""democracy"" being metaphorically described? Choose the best option from the following:
 A) imperial
 B) quintessential
 C) accountable
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'quintessential': 'A', 'accountable': 'B', 'imperial': 'C'}","{'A': 'imperial', 'B': 'quintessential', 'C': 'accountable'}"
19,,"TEXT: But, insanity seems to be a regular affliction of Congress.
QUESTION: How is ""congress"" being metaphorically described? Choose the best option from the following:
 A) cheerful
 B) impaired
 C) deliberative
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'impaired': 'A', 'deliberative': 'B', 'cheerful': 'C'}","{'A': 'cheerful', 'B': 'impaired', 'C': 'deliberative'}"
20,,"TEXT: Without the blueprint of the Constitution and the Bill of Rights, our government would be more invasive in our lives than it already is.
QUESTION: How is ""constitution"" being metaphorically described? Choose the best option from the following:
 A) generative
 B) chaotic
 C) volatile
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'generative': 'A', 'volatile': 'B', 'chaotic': 'C'}","{'A': 'generative', 'B': 'chaotic', 'C': 'volatile'}"
21,,"TEXT: Timmerman's interviews with numerous factory workers make it clear that taking away their jobs is akin to creating a poverty tsunami.
QUESTION: How is ""poverty"" being metaphorically described? Choose the best option from the following:
 A) lavish
 B) rapid increase
 C) still
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'rapid increase': 'A', 'still': 'B', 'lavish': 'C'}","{'A': 'lavish', 'B': 'rapid increase', 'C': 'still'}"
22,,"TEXT: These measures would help close the wealth chasm.
QUESTION: How is ""wealth"" being metaphorically described? Choose the best option from the following:
 A) restricted
 B) plentiful
 C) height
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'height': 'A', 'plentiful': 'B', 'restricted': 'C'}","{'A': 'restricted', 'B': 'plentiful', 'C': 'height'}"
23,,"TEXT: Filed Under 24 Comments » Published: December 29, 2010 under Archived Featured Articles, Archived Guest Articles If you hired a wealth coach to help you build a seven-figure income by investing or starting a new business, would you expect to find yourself in bankruptcy court a year later, with your house on the auction block?
QUESTION: How is ""wealth"" being metaphorically described? Choose the best option from the following:
 A) plentiful
 B) expertise
 C) modest
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'expertise': 'A', 'plentiful': 'B', 'modest': 'C'}","{'A': 'plentiful', 'B': 'expertise', 'C': 'modest'}"
24,,"TEXT: But in order to build your wealth shield against the threats posed by intrusive government, or what we call the “federal leviathan,” central bank currency manipulation, corporatism and other exogenous threats, you have to remain nimble and flexible enough to be able to move our assets into specific areas of the equity, bond and commodity markets that, at any given time, could be outperforming other asset classes.
QUESTION: How is ""wealth"" being metaphorically described? Choose the best option from the following:
 A) insubstantial
 B) protection
 C) fleeting
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'protection': 'A', 'fleeting': 'B', 'insubstantial': 'C'}","{'A': 'insubstantial', 'B': 'protection', 'C': 'fleeting'}"
25,,"TEXT: The intent of this form of intrusive legislation is to keep an eye on any NGO that could be considered unfavorable to the government.
QUESTION: How is ""legislation"" being metaphorically described? Choose the best option from the following:
 A) ephemeral
 B) detailed
 C) physical
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'physical': 'A', 'detailed': 'B', 'ephemeral': 'C'}","{'A': 'ephemeral', 'B': 'detailed', 'C': 'physical'}"
26,,"TEXT: The Open Door Raj assumed that when the doors were open and restraints removed, China would naturally follow the American path to democracy, prosperity and Christianity.
QUESTION: How is ""democracy"" being metaphorically described? Choose the best option from the following:
 A) restricted
 B) progression
 C) tangible
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'progression': 'A', 'tangible': 'B', 'restricted': 'C'}","{'A': 'restricted', 'B': 'progression', 'C': 'tangible'}"
27,,"TEXT: The NGO experiences establish that there is a strong latent demand for education even among the poorest and a responsive education system can overcome the obstacle of poverty to bring children into schools.
QUESTION: How is ""poverty"" being metaphorically described? Choose the best option from the following:
 A) challenge
 B) trivial
 C) debilitating
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'challenge': 'A', 'debilitating': 'B', 'trivial': 'C'}","{'A': 'challenge', 'B': 'trivial', 'C': 'debilitating'}"
28,,"TEXT: This guy is nothing more than a skidmark on the underwear of government, and when we get done you'll think so, too.
QUESTION: How is ""government"" being metaphorically described? Choose the best option from the following:
 A) elastic
 B) hierarchical
 C) insignificant
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'insignificant': 'A', 'hierarchical': 'B', 'elastic': 'C'}","{'A': 'elastic', 'B': 'hierarchical', 'C': 'insignificant'}"
29,,"TEXT: In the best of the prophetic tradition they will stand in the gateway of government and in the portals of business, calling people to justice for the poor, for the broken and for the excluded.
QUESTION: How is ""government"" being metaphorically described? Choose the best option from the following:
 A) unregulated
 B) entry
 C) inefficient
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'entry': 'A', 'inefficient': 'B', 'unregulated': 'C'}","{'A': 'unregulated', 'B': 'entry', 'C': 'inefficient'}"
30,,"TEXT: Now the instruments of navigation of democracy are threefold, for democracy rests upon three simple facts : what a man thinks of himself, what a man thinks of others, and what a man thinks of God.
QUESTION: How is ""democracy"" being metaphorically described? Choose the best option from the following:
 A) adaptable
 B) loud
 C) imperial
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'adaptable': 'A', 'loud': 'B', 'imperial': 'C'}","{'A': 'adaptable', 'B': 'loud', 'C': 'imperial'}"
31,,"TEXT: Mr. Speaker, I believe that there is no greater barometer of democracy than free speech and freedom of the press.
QUESTION: How is ""democracy"" being metaphorically described? Choose the best option from the following:
 A) irregular
 B) granularity
 C) bright
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'granularity': 'A', 'bright': 'B', 'irregular': 'C'}","{'A': 'irregular', 'B': 'granularity', 'C': 'bright'}"
32,,"TEXT: So what do we need to know to break the chains of poverty in our lives?
QUESTION: How is ""poverty"" being metaphorically described? Choose the best option from the following:
 A) restrictive
 B) crippling
 C) affluent
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'restrictive': 'A', 'crippling': 'B', 'affluent': 'C'}","{'A': 'restrictive', 'B': 'crippling', 'C': 'affluent'}"
33,,"TEXT: 0comments BURLINGTON — Selling a project that relies entirely on sales tax to the largest tax generator in the county was a tough sell Thursday night.
QUESTION: How is ""tax"" being metaphorically described? Choose the best option from the following:
 A) blue
 B) reliable
 C) expressive
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'reliable': 'A', 'blue': 'B', 'expressive': 'C'}","{'A': 'blue', 'B': 'reliable', 'C': 'expressive'}"
34,,"TEXT: There are many visions of democracy, and in America we are fortunate to have The Bill of rights together with The Constitution and the Declaration of Independence to create a strong impression of the voice of Democracy.
QUESTION: How is ""democracy"" being metaphorically described? Choose the best option from the following:
 A) persuasion
 B) quiet
 C) small
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'persuasion': 'A', 'small': 'B', 'quiet': 'C'}","{'A': 'persuasion', 'B': 'quiet', 'C': 'small'}"
35,,"TEXT: The Senate is poison.
QUESTION: How is ""senate"" being metaphorically described? Choose the best option from the following:
 A) deliberative
 B) harmful
 C) pernicious
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'harmful': 'A', 'deliberative': 'B', 'pernicious': 'C'}","{'A': 'deliberative', 'B': 'harmful', 'C': 'pernicious'}"
36,,"TEXT: December 10, 1996 The Teamsters union, which has filed a petition to represent Anne Arundel police officers and deputy sheriffs, is stuck in a bureaucratic turnstile that may ruin its chance of becoming the county's largest law enforcement bargaining unit.Since October, when more than 400 county police officers filed petition cards calling for a union vote, the Teamsters have been unable to arrange for elections.
QUESTION: How is ""bureaucratic"" being metaphorically described? Choose the best option from the following:
 A) repitition
 B) fluffy
 C) spontaneous
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'repitition': 'A', 'fluffy': 'B', 'spontaneous': 'C'}","{'A': 'repitition', 'B': 'fluffy', 'C': 'spontaneous'}"
37,,"TEXT: Thus it is that humanity today labors under the burden of a vast parasite, which, left unchecked, will do what all parasites do: it will destroy its host, even though its own survival depends upon the health of its host. Today the parasite of government has the power to turn our entire planet into a radioactive cinder, unfit to sustain any kind of life as we know it. As things stand now, it is likely to do this. But maybe it’s not too late. Maybe, by using HoloMatic institutions comprised of ethical Octologues, we can pull ourselves back from the brink of disaster and transform human society into a sustainable thriving whole.
QUESTION: How is ""government"" being metaphorically described? Choose the best option from the following:
 A) accountable
 B) degrading
 C) invisible
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'degrading': 'A', 'accountable': 'B', 'invisible': 'C'}","{'A': 'accountable', 'B': 'degrading', 'C': 'invisible'}"
38,,"TEXT: 08 Nor yet again is there any logical reason in the division of the field of the science of political economy for following that department which treats of the distribution of wealth with other departments treating of the consumption of wealth or of taxation, as is done by some of the minor and more recent writers.
QUESTION: How is ""wealth"" being metaphorically described? Choose the best option from the following:
 A) endless
 B) modest
 C) resource-like
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'resource-like': 'A', 'endless': 'B', 'modest': 'C'}","{'A': 'endless', 'B': 'modest', 'C': 'resource-like'}"
