open_prompt,mcq_prompt,A,B,C,D,normal_question,full_answer,shuffled_answer
"CONTEXT: A metaphor is a kind of figurative language that makes a comparison between two unlike things. Every metaphor has two parts: a source and a target. The target is the idea, concept, or object being described or explained, while the source is the idea, concept, or object used to describe or explain the target. Through this comparison, the source can add new properties to the target, bring certain existing properties into focus, and push other existing properties into the background.
    EXAMPLE: Consider the metaphorical sentence “Time is money.” In this sentence, time is the target and money is the source. The concept of time is interpreted as “valuable”, “finite”, or “precious” due to the comparison with the concept of money.
    TEXT: Second Your Arhuing that if America Wantstovote emotionally to FRG us back 100 years in time,we should.Why I may ask,do you want to return to failed tariff wars and anti globalist great depression policies that ruined nearly every economy in the Western world????Do you realize no economy can be on top by producing and selling to itself,Infact those countries are almost always the poorest countries with the lowest standard of living.
     
    INSTRUCTIONS: Fill in the [BLANK]. Based on the given text, [BLANK] is being described or explained by the word “wars”. 
    ","TEXT: Second Your Arhuing that if America Wantstovote emotionally to FRG us back 100 years in time,we should.Why I may ask,do you want to return to failed tariff wars and anti globalist great depression policies that ruined nearly every economy in the Western world????Do you realize no economy can be on top by producing and selling to itself,Infact those countries are almost always the poorest countries with the lowest standard of living.
     
    QUESTION: Which word is being described or explained by the metaphorical word ""wars""? Choose the best option from the following:

    ",tariff,disagreements,sanction,discord,"CONTEXT: A metaphor is a kind of figurative language that makes a comparison between two unlike things. Every metaphor has two parts: a source and a target. The target is the idea, concept, or object being described or explained, while the source is the idea, concept, or object used to describe or explain the target. Through this comparison, the source can add new properties to the target, bring certain existing properties into focus, and push other existing properties into the background.
EXAMPLE: Consider the metaphorical sentence “Time is money.” In this sentence, time is the target and money is the source. The concept of time is interpreted as “valuable”, “finite”, or “precious” due to the comparison with the concept of money.
TEXT: ""Second Your Arhuing that if America Wantstovote emotionally to FRG us back 100 years in time,we should.Why I may ask,do you want to return to failed tariff wars and anti globalist great depression policies that ruined nearly every economy in the Western world????Do you realize no economy can be on top by producing and selling to itself,Infact those countries are almost always the poorest countries with the lowest standard of living.""
INSTRUCTIONS: Fill in the [BLANK]. Based on the given text, [BLANK] is being described or explained by the word “wars”. 
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single word (if possible), in the form '/boxed[word]', at the end of your response.","The metaphor in the text uses ""wars"" as the source to describe conflicts over trade policies, specifically tariffs. In the phrase ""tariff wars,"" the word ""wars"" figuratively explains the nature of these economic disputes, portraying them as aggressive and destructive. Thus, the target being explained by ""wars"" is ""tariff,"" representing the concept of tariff-related conflicts.

/boxed[tariff]",TARIFF
"CONTEXT: A metaphor is a kind of figurative language that makes a comparison between two unlike things. Every metaphor has two parts: a source and a target. The target is the idea, concept, or object being described or explained, while the source is the idea, concept, or object used to describe or explain the target. Through this comparison, the source can add new properties to the target, bring certain existing properties into focus, and push other existing properties into the background.
    EXAMPLE: Consider the metaphorical sentence “Time is money.” In this sentence, time is the target and money is the source. The concept of time is interpreted as “valuable”, “finite”, or “precious” due to the comparison with the concept of money.
    TEXT: So yes, I believe as Bob, that much of what we read in scripture is focused on and around Israel and the Middle East, with judgements on the nations also for rejecting the truth and turning to idols of wealth, lust and false teachings.
       
    INSTRUCTIONS: Fill in the [BLANK]. Based on the given text, [BLANK] is being described or explained by the word “idols”. 
    ","TEXT: So yes, I believe as Bob, that much of what we read in scripture is focused on and around Israel and the Middle East, with judgements on the nations also for rejecting the truth and turning to idols of wealth, lust and false teachings.
       
    QUESTION: Which word is being described or explained by the metaphorical word ""idols""? Choose the best option from the following:

    ",wealth,desires,affluence,hunger,"CONTEXT: A metaphor is a kind of figurative language that makes a comparison between two unlike things. Every metaphor has two parts: a source and a target. The target is the idea, concept, or object being described or explained, while the source is the idea, concept, or object used to describe or explain the target. Through this comparison, the source can add new properties to the target, bring certain existing properties into focus, and push other existing properties into the background.
EXAMPLE: Consider the metaphorical sentence “Time is money.” In this sentence, time is the target and money is the source. The concept of time is interpreted as “valuable”, “finite”, or “precious” due to the comparison with the concept of money.
TEXT: ""So yes, I believe as Bob, that much of what we read in scripture is focused on and around Israel and the Middle East, with judgements on the nations also for rejecting the truth and turning to idols of wealth, lust and false teachings.""
INSTRUCTIONS: Fill in the [BLANK]. Based on the given text, [BLANK] is being described or explained by the word “idols”. 
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single word (if possible), in the form '/boxed[word]', at the end of your response.","In the given text, the word ""idols"" is used metaphorically to describe wealth, lust, and false teachings. These concepts are portrayed as objects of undue reverence or prioritization, similar to physical idols in religious contexts. Therefore, wealth, lust, and false teachings are the target of the metaphor, with ""idols"" serving as the source.

/boxed[wealth, lust, and false teachings]","WEALTH,"
"CONTEXT: A metaphor is a kind of figurative language that makes a comparison between two unlike things. Every metaphor has two parts: a source and a target. The target is the idea, concept, or object being described or explained, while the source is the idea, concept, or object used to describe or explain the target. Through this comparison, the source can add new properties to the target, bring certain existing properties into focus, and push other existing properties into the background.
    EXAMPLE: Consider the metaphorical sentence “Time is money.” In this sentence, time is the target and money is the source. The concept of time is interpreted as “valuable”, “finite”, or “precious” due to the comparison with the concept of money.
    TEXT: It can redeem the whole human scene through the understanding that addresses the roots of poverty, persecution, or other issues of deep concern.
       
    INSTRUCTIONS: Fill in the [BLANK]. Based on the given text, [BLANK] is being described or explained by the word “roots”. 
    ","TEXT: It can redeem the whole human scene through the understanding that addresses the roots of poverty, persecution, or other issues of deep concern.
       
    QUESTION: Which word is being described or explained by the metaphorical word ""roots""? Choose the best option from the following:

    ",poverty,causes,underdevelopment,stimulus,"CONTEXT: A metaphor is a kind of figurative language that makes a comparison between two unlike things. Every metaphor has two parts: a source and a target. The target is the idea, concept, or object being described or explained, while the source is the idea, concept, or object used to describe or explain the target. Through this comparison, the source can add new properties to the target, bring certain existing properties into focus, and push other existing properties into the background.
EXAMPLE: Consider the metaphorical sentence “Time is money.” In this sentence, time is the target and money is the source. The concept of time is interpreted as “valuable”, “finite”, or “precious” due to the comparison with the concept of money.
TEXT: ""It can redeem the whole human scene through the understanding that addresses the roots of poverty, persecution, or other issues of deep concern.""
INSTRUCTIONS: Fill in the [BLANK]. Based on the given text, [BLANK] is being described or explained by the word “roots”. 
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single word (if possible), in the form '/boxed[word]', at the end of your response.","The word ""roots"" is used metaphorically to describe the underlying causes or origins of poverty, persecution, and other issues. In the context of the metaphor, ""roots"" serves as the source, while the target is the concept being explained—namely, the fundamental causes of these social problems.

/boxed[causes]",CAUSES
"CONTEXT: A metaphor is a kind of figurative language that makes a comparison between two unlike things. Every metaphor has two parts: a source and a target. The target is the idea, concept, or object being described or explained, while the source is the idea, concept, or object used to describe or explain the target. Through this comparison, the source can add new properties to the target, bring certain existing properties into focus, and push other existing properties into the background.
    EXAMPLE: Consider the metaphorical sentence “Time is money.” In this sentence, time is the target and money is the source. The concept of time is interpreted as “valuable”, “finite”, or “precious” due to the comparison with the concept of money.
    TEXT: Poverty and food security are heterogeneous phenomena in most countries; types and depth of poverty, measured in different ways, vary between and within countries and regions.
       
    INSTRUCTIONS: Fill in the [BLANK]. Based on the given text, [BLANK] is being described or explained by the word “depth”. 
    ","TEXT: Poverty and food security are heterogeneous phenomena in most countries; types and depth of poverty, measured in different ways, vary between and within countries and regions.
       
    QUESTION: Which word is being described or explained by the metaphorical word ""depth""? Choose the best option from the following:

    ",poverty,severity,underdevelopment,scale,"CONTEXT: A metaphor is a kind of figurative language that makes a comparison between two unlike things. Every metaphor has two parts: a source and a target. The target is the idea, concept, or object being described or explained, while the source is the idea, concept, or object used to describe or explain the target. Through this comparison, the source can add new properties to the target, bring certain existing properties into focus, and push other existing properties into the background.
EXAMPLE: Consider the metaphorical sentence “Time is money.” In this sentence, time is the target and money is the source. The concept of time is interpreted as “valuable”, “finite”, or “precious” due to the comparison with the concept of money.
TEXT: ""Poverty and food security are heterogeneous phenomena in most countries; types and depth of poverty, measured in different ways, vary between and within countries and regions.""
INSTRUCTIONS: Fill in the [BLANK]. Based on the given text, [BLANK] is being described or explained by the word “depth”. 
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single word (if possible), in the form '/boxed[word]', at the end of your response.","The word ""depth"" is used to describe or explain the extent or severity of poverty, making poverty the target concept.

/boxed[poverty]",POVERTY
"CONTEXT: A metaphor is a kind of figurative language that makes a comparison between two unlike things. Every metaphor has two parts: a source and a target. The target is the idea, concept, or object being described or explained, while the source is the idea, concept, or object used to describe or explain the target. Through this comparison, the source can add new properties to the target, bring certain existing properties into focus, and push other existing properties into the background.
    EXAMPLE: Consider the metaphorical sentence “Time is money.” In this sentence, time is the target and money is the source. The concept of time is interpreted as “valuable”, “finite”, or “precious” due to the comparison with the concept of money.
    TEXT: Then Monday arrived and with it came an infestation of congressmen and women.
       
    INSTRUCTIONS: Fill in the [BLANK]. Based on the given text, [BLANK] is being described or explained by the word “infestation”. 
    ","TEXT: Then Monday arrived and with it came an infestation of congressmen and women.
       
    QUESTION: Which word is being described or explained by the metaphorical word ""infestation""? Choose the best option from the following:

    ",congressmen,crowd,governor,summit,"CONTEXT: A metaphor is a kind of figurative language that makes a comparison between two unlike things. Every metaphor has two parts: a source and a target. The target is the idea, concept, or object being described or explained, while the source is the idea, concept, or object used to describe or explain the target. Through this comparison, the source can add new properties to the target, bring certain existing properties into focus, and push other existing properties into the background.
EXAMPLE: Consider the metaphorical sentence “Time is money.” In this sentence, time is the target and money is the source. The concept of time is interpreted as “valuable”, “finite”, or “precious” due to the comparison with the concept of money.
TEXT: ""Then Monday arrived and with it came an infestation of congressmen and women.""
INSTRUCTIONS: Fill in the [BLANK]. Based on the given text, [BLANK] is being described or explained by the word “infestation”. 
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single word (if possible), in the form '/boxed[word]', at the end of your response.","The word ""infestation"" is used metaphorically to describe the arrival of a group of people, specifically congressmen and women. In this metaphor, ""infestation"" is the source, and the target—the concept being described—is the group itself. While the text explicitly mentions ""congressmen and women,"" the single word ""congressmen"" captures the target in a concise manner, as it is commonly understood to refer to members of Congress inclusively.

/boxed[congressmen]",CONGRESSMEN
"CONTEXT: A metaphor is a kind of figurative language that makes a comparison between two unlike things. Every metaphor has two parts: a source and a target. The target is the idea, concept, or object being described or explained, while the source is the idea, concept, or object used to describe or explain the target. Through this comparison, the source can add new properties to the target, bring certain existing properties into focus, and push other existing properties into the background.
    EXAMPLE: Consider the metaphorical sentence “Time is money.” In this sentence, time is the target and money is the source. The concept of time is interpreted as “valuable”, “finite”, or “precious” due to the comparison with the concept of money.
    TEXT: Part III explains why elections do not deserve the label of beacon of democracy, given the record of past transitions to democracy.
       
    INSTRUCTIONS: Fill in the [BLANK]. Based on the given text, [BLANK] is being described or explained by the word “beacon”. 
    ","TEXT: Part III explains why elections do not deserve the label of beacon of democracy, given the record of past transitions to democracy.
       
    QUESTION: Which word is being described or explained by the metaphorical word ""beacon""? Choose the best option from the following:

    ",democracy,ideal,legislation,paragon,"CONTEXT: A metaphor is a kind of figurative language that makes a comparison between two unlike things. Every metaphor has two parts: a source and a target. The target is the idea, concept, or object being described or explained, while the source is the idea, concept, or object used to describe or explain the target. Through this comparison, the source can add new properties to the target, bring certain existing properties into focus, and push other existing properties into the background.
EXAMPLE: Consider the metaphorical sentence “Time is money.” In this sentence, time is the target and money is the source. The concept of time is interpreted as “valuable”, “finite”, or “precious” due to the comparison with the concept of money.
TEXT: ""Part III explains why elections do not deserve the label of beacon of democracy, given the record of past transitions to democracy.""
INSTRUCTIONS: Fill in the [BLANK]. Based on the given text, [BLANK] is being described or explained by the word “beacon”. 
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single word (if possible), in the form '/boxed[word]', at the end of your response.","The word ""beacon"" is used metaphorically to describe elections, implying they should serve as a guiding light for democracy. In the given text, elections are the target of this comparison.

/boxed[elections]",ELECTIONS
"CONTEXT: A metaphor is a kind of figurative language that makes a comparison between two unlike things. Every metaphor has two parts: a source and a target. The target is the idea, concept, or object being described or explained, while the source is the idea, concept, or object used to describe or explain the target. Through this comparison, the source can add new properties to the target, bring certain existing properties into focus, and push other existing properties into the background.
    EXAMPLE: Consider the metaphorical sentence “Time is money.” In this sentence, time is the target and money is the source. The concept of time is interpreted as “valuable”, “finite”, or “precious” due to the comparison with the concept of money.
    TEXT: It is all too common for countries attempting political transitions to achieve the forms but not the substance of democracy.
       
    INSTRUCTIONS: Fill in the [BLANK]. Based on the given text, [BLANK] is being described or explained by the word “substance”. 
    ","TEXT: It is all too common for countries attempting political transitions to achieve the forms but not the substance of democracy.
       
    QUESTION: Which word is being described or explained by the metaphorical word ""substance""? Choose the best option from the following:

    ",democracy,essence,participation,crux,"CONTEXT: A metaphor is a kind of figurative language that makes a comparison between two unlike things. Every metaphor has two parts: a source and a target. The target is the idea, concept, or object being described or explained, while the source is the idea, concept, or object used to describe or explain the target. Through this comparison, the source can add new properties to the target, bring certain existing properties into focus, and push other existing properties into the background.
EXAMPLE: Consider the metaphorical sentence “Time is money.” In this sentence, time is the target and money is the source. The concept of time is interpreted as “valuable”, “finite”, or “precious” due to the comparison with the concept of money.
TEXT: ""It is all too common for countries attempting political transitions to achieve the forms but not the substance of democracy.""
INSTRUCTIONS: Fill in the [BLANK]. Based on the given text, [BLANK] is being described or explained by the word “substance”. 
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single word (if possible), in the form '/boxed[word]', at the end of your response.","Based on the text, the word ""substance"" is used metaphorically to refer to the essential, meaningful aspect of democracy, contrasting with its superficial ""forms."" Thus, democracy is the target concept being described or explained by the source concept ""substance.""

/boxed[democracy]",DEMOCRACY
"CONTEXT: A metaphor is a kind of figurative language that makes a comparison between two unlike things. Every metaphor has two parts: a source and a target. The target is the idea, concept, or object being described or explained, while the source is the idea, concept, or object used to describe or explain the target. Through this comparison, the source can add new properties to the target, bring certain existing properties into focus, and push other existing properties into the background.
    EXAMPLE: Consider the metaphorical sentence “Time is money.” In this sentence, time is the target and money is the source. The concept of time is interpreted as “valuable”, “finite”, or “precious” due to the comparison with the concept of money.
    TEXT: News24 Home > MyNews24 > Your Story Planting the seeds of poverty View 109 Comments By: Kevin King 2011-05-11 13:00 Planting the seeds of poverty
       
    INSTRUCTIONS: Fill in the [BLANK]. Based on the given text, [BLANK] is being described or explained by the word “seeds”. 
    ","TEXT: News24 Home > MyNews24 > Your Story Planting the seeds of poverty View 109 Comments By: Kevin King 2011-05-11 13:00 Planting the seeds of poverty
       
    QUESTION: Which word is being described or explained by the metaphorical word ""seeds""? Choose the best option from the following:

    ",poverty,causes,exclusion,influence,"CONTEXT: A metaphor is a kind of figurative language that makes a comparison between two unlike things. Every metaphor has two parts: a source and a target. The target is the idea, concept, or object being described or explained, while the source is the idea, concept, or object used to describe or explain the target. Through this comparison, the source can add new properties to the target, bring certain existing properties into focus, and push other existing properties into the background.
EXAMPLE: Consider the metaphorical sentence “Time is money.” In this sentence, time is the target and money is the source. The concept of time is interpreted as “valuable”, “finite”, or “precious” due to the comparison with the concept of money.
TEXT: ""News24 Home > MyNews24 > Your Story Planting the seeds of poverty View 109 Comments By: Kevin King 2011-05-11 13:00 Planting the seeds of poverty""
INSTRUCTIONS: Fill in the [BLANK]. Based on the given text, [BLANK] is being described or explained by the word “seeds”. 
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single word (if possible), in the form '/boxed[word]', at the end of your response.","The metaphor ""planting the seeds of poverty"" uses ""seeds"" as the source to describe or explain ""poverty"" as the target, emphasizing how poverty can grow from initial actions or conditions.

/boxed[poverty]",POVERTY
"CONTEXT: A metaphor is a kind of figurative language that makes a comparison between two unlike things. Every metaphor has two parts: a source and a target. The target is the idea, concept, or object being described or explained, while the source is the idea, concept, or object used to describe or explain the target. Through this comparison, the source can add new properties to the target, bring certain existing properties into focus, and push other existing properties into the background.
    EXAMPLE: Consider the metaphorical sentence “Time is money.” In this sentence, time is the target and money is the source. The concept of time is interpreted as “valuable”, “finite”, or “precious” due to the comparison with the concept of money.
    TEXT: You do not feel your family clutching the heels of your feet as you climb up the ladder, out of the well of poverty, clinging and pushing away.
       
    INSTRUCTIONS: Fill in the [BLANK]. Based on the given text, [BLANK] is being described or explained by the word “well”. 
    ","TEXT: You do not feel your family clutching the heels of your feet as you climb up the ladder, out of the well of poverty, clinging and pushing away.
       
    QUESTION: Which word is being described or explained by the metaphorical word ""well""? Choose the best option from the following:

    ",poverty,situation,challenge,instance,"CONTEXT: A metaphor is a kind of figurative language that makes a comparison between two unlike things. Every metaphor has two parts: a source and a target. The target is the idea, concept, or object being described or explained, while the source is the idea, concept, or object used to describe or explain the target. Through this comparison, the source can add new properties to the target, bring certain existing properties into focus, and push other existing properties into the background.
EXAMPLE: Consider the metaphorical sentence “Time is money.” In this sentence, time is the target and money is the source. The concept of time is interpreted as “valuable”, “finite”, or “precious” due to the comparison with the concept of money.
TEXT: ""You do not feel your family clutching the heels of your feet as you climb up the ladder, out of the well of poverty, clinging and pushing away.""
INSTRUCTIONS: Fill in the [BLANK]. Based on the given text, [BLANK] is being described or explained by the word “well”. 
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single word (if possible), in the form '/boxed[word]', at the end of your response.","The word ""well"" is used metaphorically to describe ""poverty,"" portraying it as a deep, difficult situation from which one must climb out.

/boxed[poverty]",POVERTY
"CONTEXT: A metaphor is a kind of figurative language that makes a comparison between two unlike things. Every metaphor has two parts: a source and a target. The target is the idea, concept, or object being described or explained, while the source is the idea, concept, or object used to describe or explain the target. Through this comparison, the source can add new properties to the target, bring certain existing properties into focus, and push other existing properties into the background.
    EXAMPLE: Consider the metaphorical sentence “Time is money.” In this sentence, time is the target and money is the source. The concept of time is interpreted as “valuable”, “finite”, or “precious” due to the comparison with the concept of money.
    TEXT: The Arab Spring arose from the prescription of political reform as the democracy cure for what ails the Muslim world.
       
    INSTRUCTIONS: Fill in the [BLANK]. Based on the given text, [BLANK] is being described or explained by the word “cure”. 
    ","TEXT: The Arab Spring arose from the prescription of political reform as the democracy cure for what ails the Muslim world.
       
    QUESTION: Which word is being described or explained by the metaphorical word ""cure""? Choose the best option from the following:

    ",democracy,solution,justice,process,"CONTEXT: A metaphor is a kind of figurative language that makes a comparison between two unlike things. Every metaphor has two parts: a source and a target. The target is the idea, concept, or object being described or explained, while the source is the idea, concept, or object used to describe or explain the target. Through this comparison, the source can add new properties to the target, bring certain existing properties into focus, and push other existing properties into the background.
EXAMPLE: Consider the metaphorical sentence “Time is money.” In this sentence, time is the target and money is the source. The concept of time is interpreted as “valuable”, “finite”, or “precious” due to the comparison with the concept of money.
TEXT: ""The Arab Spring arose from the prescription of political reform as the democracy cure for what ails the Muslim world.""
INSTRUCTIONS: Fill in the [BLANK]. Based on the given text, [BLANK] is being described or explained by the word “cure”. 
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single word (if possible), in the form '/boxed[word]', at the end of your response.","The word ""cure"" is used metaphorically in the phrase ""the democracy cure,"" directly describing democracy as a remedy for the issues affecting the Muslim world. Thus, democracy is the target of the metaphor.

/boxed[democracy]",DEMOCRACY
