,0,normal_question,correct_letter,original,permutation
0,normal_question,"TEXT: Second Your Arhuing that if America Wantstovote emotionally to FRG us back 100 years in time,we should.Why I may ask,do you want to return to failed tariff wars and anti globalist great depression policies that ruined nearly every economy in the Western world????Do you realize no economy can be on top by producing and selling to itself,Infact those countries are almost always the poorest countries with the lowest standard of living.
ASSUMPTION: The wars are deek.
QUESTION: How is ""tariff"" being metaphorically described based on the assumption? Choose the best word from the options:
 A) placid
 B) tax
 C) destructive
 D) deek
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",deek,"{'destructive': 'A', 'deek': 'B', 'tax': 'C', 'placid': 'D'}","{'A': 'placid', 'B': 'tax', 'C': 'destructive', 'D': 'deek'}"
1,correct_letter,"TEXT: So yes, I believe as Bob, that much of what we read in scripture is focused on and around Israel and the Middle East, with judgements on the nations also for rejecting the truth and turning to idols of wealth, lust and false teachings.
ASSUMPTION: The idols are losks.
QUESTION: How is ""wealth"" being metaphorically described based on the assumption? Choose the best word from the options:
 A) unpretentious
 B) central
 C) penniless
 D) losks
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",losks,"{'central': 'A', 'losks': 'B', 'penniless': 'C', 'unpretentious': 'D'}","{'A': 'unpretentious', 'B': 'central', 'C': 'penniless', 'D': 'losks'}"
2,original,"TEXT: It can redeem the whole human scene through the understanding that addresses the roots of poverty, persecution, or other issues of deep concern.
ASSUMPTION: The roots are smeace.
QUESTION: How is ""poverty"" being metaphorically described based on the assumption? Choose the best word from the options:
 A) flourishing
 B) smeace
 C) fundamental
 D) lavish
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",smeace,"{'fundamental': 'A', 'smeace': 'B', 'lavish': 'C', 'flourishing': 'D'}","{'A': 'flourishing', 'B': 'smeace', 'C': 'fundamental', 'D': 'lavish'}"
3,permutation,"TEXT: Poverty and food security are heterogeneous phenomena in most countries; types and depth of poverty, measured in different ways, vary between and within countries and regions.
ASSUMPTION: A depth is chalm.
QUESTION: How is ""poverty"" being metaphorically described based on the assumption? Choose the best word from the options:
 A) tiered
 B) trivial
 C) chalm
 D) empty
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",chalm,"{'tiered': 'A', 'chalm': 'B', 'empty': 'C', 'trivial': 'D'}","{'A': 'tiered', 'B': 'trivial', 'C': 'chalm', 'D': 'empty'}"
4,,"TEXT: Then Monday arrived and with it came an infestation of congressmen and women.
ASSUMPTION: An infestation is yiews.
QUESTION: How is ""congressmen"" being metaphorically described based on the assumption? Choose the best word from the options:
 A) ethical
 B) yiews
 C) silent
 D) unwelcome
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",yiews,"{'unwelcome': 'A', 'yiews': 'B', 'ethical': 'C', 'silent': 'D'}","{'A': 'ethical', 'B': 'yiews', 'C': 'silent', 'D': 'unwelcome'}"
5,,"TEXT: Part III explains why elections do not deserve the label of beacon of democracy, given the record of past transitions to democracy.
ASSUMPTION: A beacon is funs.
QUESTION: How is ""democracy"" being metaphorically described based on the assumption? Choose the best word from the options:
 A) funs
 B) oligarchic
 C) guide
 D) disorganized
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",funs,"{'guide': 'A', 'funs': 'B', 'disorganized': 'C', 'oligarchic': 'D'}","{'A': 'funs', 'B': 'oligarchic', 'C': 'guide', 'D': 'disorganized'}"
6,,"TEXT: It is all too common for countries attempting political transitions to achieve the forms but not the substance of democracy.
ASSUMPTION: A substance is bor.
QUESTION: How is ""democracy"" being metaphorically described based on the assumption? Choose the best word from the options:
 A) fundamental
 B) bor
 C) accountable
 D) inflexible
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",bor,"{'fundamental': 'A', 'bor': 'B', 'accountable': 'C', 'inflexible': 'D'}","{'A': 'fundamental', 'B': 'bor', 'C': 'accountable', 'D': 'inflexible'}"
7,,"TEXT: News24 Home > MyNews24 > Your Story Planting the seeds of poverty View 109 Comments By: Kevin King 2011-05-11 13:00 Planting the seeds of poverty
ASSUMPTION: The seeds are dook.
QUESTION: How is ""poverty"" being metaphorically described based on the assumption? Choose the best word from the options:
 A) luxurious
 B) originator
 C) flourishing
 D) dook
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",dook,"{'originator': 'A', 'dook': 'B', 'luxurious': 'C', 'flourishing': 'D'}","{'A': 'luxurious', 'B': 'originator', 'C': 'flourishing', 'D': 'dook'}"
8,,"TEXT: You do not feel your family clutching the heels of your feet as you climb up the ladder, out of the well of poverty, clinging and pushing away.
ASSUMPTION: A well is rooed.
QUESTION: How is ""poverty"" being metaphorically described based on the assumption? Choose the best word from the options:
 A) rooed
 B) rich
 C) widespread
 D) debilitating
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",rooed,"{'debilitating': 'A', 'rooed': 'B', 'widespread': 'C', 'rich': 'D'}","{'A': 'rooed', 'B': 'rich', 'C': 'widespread', 'D': 'debilitating'}"
9,,"TEXT: The Arab Spring arose from the prescription of political reform as the democracy cure for what ails the Muslim world.
ASSUMPTION: A cure is ikot.
QUESTION: How is ""democracy"" being metaphorically described based on the assumption? Choose the best word from the options:
 A) tyrannical
 B) ikot
 C) renewal
 D) imperfect
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",ikot,"{'renewal': 'A', 'ikot': 'B', 'imperfect': 'C', 'tyrannical': 'D'}","{'A': 'tyrannical', 'B': 'ikot', 'C': 'renewal', 'D': 'imperfect'}"
