,0,normal_question,correct_letter,original,permutation
0,normal_question,"TEXT: Second Your Arhuing that if America Wantstovote emotionally to FRG us back 100 years in time,we should.Why I may ask,do you want to return to failed tariff wars and anti globalist great depression policies that ruined nearly every economy in the Western world????Do you realize no economy can be on top by producing and selling to itself,Infact those countries are almost always the poorest countries with the lowest standard of living.
ASSUMPTION: The wars are constructive.
QUESTION: How is ""tariff"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) constructive
 B) placid
 C) destructive
 D) policy
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",destructive,"{'destructive': 'A', 'constructive': 'B', 'policy': 'C', 'placid': 'D'}","{'A': 'constructive', 'B': 'placid', 'C': 'destructive', 'D': 'policy'}"
1,correct_letter,"TEXT: So yes, I believe as Bob, that much of what we read in scripture is focused on and around Israel and the Middle East, with judgements on the nations also for rejecting the truth and turning to idols of wealth, lust and false teachings.
ASSUMPTION: The idols are peripheral.
QUESTION: How is ""wealth"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) central
 B) shiny
 C) peripheral
 D) penniless
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",central,"{'central': 'A', 'peripheral': 'B', 'shiny': 'C', 'penniless': 'D'}","{'A': 'central', 'B': 'shiny', 'C': 'peripheral', 'D': 'penniless'}"
2,original,"TEXT: It can redeem the whole human scene through the understanding that addresses the roots of poverty, persecution, or other issues of deep concern.
ASSUMPTION: The roots are high.
QUESTION: How is ""poverty"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) lavish
 B) flourishing
 C) high
 D) Lo
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",Lo,"{'Lo': 'A', 'high': 'B', 'lavish': 'C', 'flourishing': 'D'}","{'A': 'lavish', 'B': 'flourishing', 'C': 'high', 'D': 'Lo'}"
3,permutation,"TEXT: Poverty and food security are heterogeneous phenomena in most countries; types and depth of poverty, measured in different ways, vary between and within countries and regions.
ASSUMPTION: A depth is flat.
QUESTION: How is ""poverty"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) flat
 B) minimal
 C) slight
 D) tiered
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",tiered,"{'tiered': 'A', 'flat': 'B', 'slight': 'C', 'minimal': 'D'}","{'A': 'flat', 'B': 'minimal', 'C': 'slight', 'D': 'tiered'}"
4,,"TEXT: Then Monday arrived and with it came an infestation of congressmen and women.
ASSUMPTION: An infestation is welcome.
QUESTION: How is ""congressmen"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) welcome
 B) unwelcome
 C) ethical
 D) orderly
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",unwelcome,"{'unwelcome': 'A', 'welcome': 'B', 'ethical': 'C', 'orderly': 'D'}","{'A': 'welcome', 'B': 'unwelcome', 'C': 'ethical', 'D': 'orderly'}"
5,,"TEXT: Part III explains why elections do not deserve the label of beacon of democracy, given the record of past transitions to democracy.
ASSUMPTION: A beacon is mislead.
QUESTION: How is ""democracy"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) imperfect
 B) tyrannical
 C) mislead
 D) guide
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",guide,"{'guide': 'A', 'mislead': 'B', 'imperfect': 'C', 'tyrannical': 'D'}","{'A': 'imperfect', 'B': 'tyrannical', 'C': 'mislead', 'D': 'guide'}"
6,,"TEXT: It is all too common for countries attempting political transitions to achieve the forms but not the substance of democracy.
ASSUMPTION: A substance is superficial.
QUESTION: How is ""democracy"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) fundamental
 B) superficial
 C) participatory
 D) inflexible
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",fundamental,"{'fundamental': 'A', 'superficial': 'B', 'participatory': 'C', 'inflexible': 'D'}","{'A': 'fundamental', 'B': 'superficial', 'C': 'participatory', 'D': 'inflexible'}"
7,,"TEXT: News24 Home > MyNews24 > Your Story Planting the seeds of poverty View 109 Comments By: Kevin King 2011-05-11 13:00 Planting the seeds of poverty
ASSUMPTION: The seeds are follower.
QUESTION: How is ""poverty"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) originator
 B) follower
 C) luxurious
 D) harsh
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",originator,"{'originator': 'A', 'follower': 'B', 'harsh': 'C', 'luxurious': 'D'}","{'A': 'originator', 'B': 'follower', 'C': 'luxurious', 'D': 'harsh'}"
8,,"TEXT: You do not feel your family clutching the heels of your feet as you climb up the ladder, out of the well of poverty, clinging and pushing away.
ASSUMPTION: A well is strengthening.
QUESTION: How is ""poverty"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) debilitating
 B) strengthening
 C) rich
 D) extreme
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",debilitating,"{'debilitating': 'A', 'strengthening': 'B', 'extreme': 'C', 'rich': 'D'}","{'A': 'debilitating', 'B': 'strengthening', 'C': 'rich', 'D': 'extreme'}"
9,,"TEXT: The Arab Spring arose from the prescription of political reform as the democracy cure for what ails the Muslim world.
ASSUMPTION: A cure is expiration.
QUESTION: How is ""democracy"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) renewal
 B) expiration
 C) imperfect
 D) tyrannical
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",renewal,"{'renewal': 'A', 'expiration': 'B', 'imperfect': 'C', 'tyrannical': 'D'}","{'A': 'renewal', 'B': 'expiration', 'C': 'imperfect', 'D': 'tyrannical'}"
