,0,normal_question,correct_letter,original,permutation
0,normal_question,"TEXT: Second Your Arhuing that if America Wantstovote emotionally to FRG us back 100 years in time,we should.Why I may ask,do you want to return to failed tariff wars and anti globalist great depression policies that ruined nearly every economy in the Western world????Do you realize no economy can be on top by producing and selling to itself,Infact those countries are almost always the poorest countries with the lowest standard of living.
QUESTION: How is ""tariff"" being metaphorically described? Choose the best word from the options:""
 A) placid
 B) destructive
 C) tax
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'destructive': 'A', 'tax': 'B', 'placid': 'C'}","{'A': 'placid', 'B': 'destructive', 'C': 'tax'}"
1,correct_letter,"TEXT: So yes, I believe as Bob, that much of what we read in scripture is focused on and around Israel and the Middle East, with judgements on the nations also for rejecting the truth and turning to idols of wealth, lust and false teachings.
QUESTION: How is ""wealth"" being metaphorically described? Choose the best word from the options:""
 A) central
 B) unpretentious
 C) penniless
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'central': 'A', 'penniless': 'B', 'unpretentious': 'C'}","{'A': 'central', 'B': 'unpretentious', 'C': 'penniless'}"
2,original,"TEXT: It can redeem the whole human scene through the understanding that addresses the roots of poverty, persecution, or other issues of deep concern.
QUESTION: How is ""poverty"" being metaphorically described? Choose the best word from the options:""
 A) flourishing
 B) fundamental
 C) lavish
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'fundamental': 'A', 'lavish': 'B', 'flourishing': 'C'}","{'A': 'flourishing', 'B': 'fundamental', 'C': 'lavish'}"
3,permutation,"TEXT: Poverty and food security are heterogeneous phenomena in most countries; types and depth of poverty, measured in different ways, vary between and within countries and regions.
QUESTION: How is ""poverty"" being metaphorically described? Choose the best word from the options:""
 A) empty
 B) tiered
 C) trivial
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'tiered': 'A', 'empty': 'B', 'trivial': 'C'}","{'A': 'empty', 'B': 'tiered', 'C': 'trivial'}"
4,,"TEXT: Then Monday arrived and with it came an infestation of congressmen and women.
QUESTION: How is ""congressmen"" being metaphorically described? Choose the best word from the options:""
 A) unwelcome
 B) silent
 C) ethical
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'unwelcome': 'A', 'ethical': 'B', 'silent': 'C'}","{'A': 'unwelcome', 'B': 'silent', 'C': 'ethical'}"
5,,"TEXT: Part III explains why elections do not deserve the label of beacon of democracy, given the record of past transitions to democracy.
QUESTION: How is ""democracy"" being metaphorically described? Choose the best word from the options:""
 A) disorganized
 B) oligarchic
 C) guide
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'guide': 'A', 'disorganized': 'B', 'oligarchic': 'C'}","{'A': 'disorganized', 'B': 'oligarchic', 'C': 'guide'}"
6,,"TEXT: It is all too common for countries attempting political transitions to achieve the forms but not the substance of democracy.
QUESTION: How is ""democracy"" being metaphorically described? Choose the best word from the options:""
 A) accountable
 B) inflexible
 C) fundamental
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'fundamental': 'A', 'accountable': 'B', 'inflexible': 'C'}","{'A': 'accountable', 'B': 'inflexible', 'C': 'fundamental'}"
7,,"TEXT: News24 Home > MyNews24 > Your Story Planting the seeds of poverty View 109 Comments By: Kevin King 2011-05-11 13:00 Planting the seeds of poverty
QUESTION: How is ""poverty"" being metaphorically described? Choose the best word from the options:""
 A) originator
 B) luxurious
 C) flourishing
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'originator': 'A', 'luxurious': 'B', 'flourishing': 'C'}","{'A': 'originator', 'B': 'luxurious', 'C': 'flourishing'}"
8,,"TEXT: You do not feel your family clutching the heels of your feet as you climb up the ladder, out of the well of poverty, clinging and pushing away.
QUESTION: How is ""poverty"" being metaphorically described? Choose the best word from the options:""
 A) rich
 B) debilitating
 C) widespread
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'debilitating': 'A', 'widespread': 'B', 'rich': 'C'}","{'A': 'rich', 'B': 'debilitating', 'C': 'widespread'}"
9,,"TEXT: The Arab Spring arose from the prescription of political reform as the democracy cure for what ails the Muslim world.
QUESTION: How is ""democracy"" being metaphorically described? Choose the best word from the options:""
 A) renewal
 B) imperfect
 C) tyrannical
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'renewal': 'A', 'imperfect': 'B', 'tyrannical': 'C'}","{'A': 'renewal', 'B': 'imperfect', 'C': 'tyrannical'}"
10,,"TEXT: But, we are there now and the President articulated a vision in an American Enterprises Institute speech in February in which he talked about Iraq as a democracy beacon for the rest of the region.
QUESTION: How is ""democracy"" being metaphorically described? Choose the best word from the options:""
 A) tyrannical
 B) disorganized
 C) guide
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'guide': 'A', 'disorganized': 'B', 'tyrannical': 'C'}","{'A': 'tyrannical', 'B': 'disorganized', 'C': 'guide'}"
11,,"TEXT: Indeed, as so often happens in centralized systems, the bureaucratic remedy for one problem led to even worse trouble down the line.
QUESTION: How is ""bureaucratic"" being metaphorically described? Choose the best word from the options:""
 A) generative
 B) slow
 C) innovative
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'generative': 'A', 'slow': 'B', 'innovative': 'C'}","{'A': 'generative', 'B': 'slow', 'C': 'innovative'}"
12,,"TEXT: Plato witnessed the death of Socrates at the hands of the Athenian democracy in 399 BC.
QUESTION: How is ""democracy"" being metaphorically described? Choose the best word from the options:""
 A) powerful
 B) savory
 C) oligarchic
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'powerful': 'A', 'savory': 'B', 'oligarchic': 'C'}","{'A': 'powerful', 'B': 'savory', 'C': 'oligarchic'}"
13,,"TEXT: Political philosophers from Aristotle to Samuel Huntington have noted that economic development and an expanding middle class can provide more fertile ground for democracy.
QUESTION: How is ""democracy"" being metaphorically described? Choose the best word from the options:""
 A) diverse
 B) stiff
 C) justified
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'justified': 'A', 'diverse': 'B', 'stiff': 'C'}","{'A': 'diverse', 'B': 'stiff', 'C': 'justified'}"
14,,"TEXT: As the madnessÂ in Iraq claims the lives of more citizens of the United States of America with each passing week, media reports are filled with very moving stories of how members of our armed forces, who have been placed into harm's way needlessly by a president who lied about the underlying premises to justify our invasion of Iraq and who continues to believe that the ""demigod"" of ""democracy"" will prevail in land torn by sectarian strife among competing bands of Mohammedans, are dealing with ever more novel ways being invented and adapted by Iraqi nationals, who resent their presence in Iraq, to kill them.
QUESTION: How is ""democracy"" being metaphorically described? Choose the best word from the options:""
 A) finite
 B) diverse
 C) faith-receiving
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'faith-receiving': 'A', 'diverse': 'B', 'finite': 'C'}","{'A': 'finite', 'B': 'diverse', 'C': 'faith-receiving'}"
15,,"TEXT: Behind thought control in bourgeois democracy is the thinly gloved hand of repressive power.
QUESTION: How is ""democracy"" being metaphorically described? Choose the best word from the options:""
 A) oligarchic
 B) powerful
 C) savory
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'powerful': 'A', 'savory': 'B', 'oligarchic': 'C'}","{'A': 'oligarchic', 'B': 'powerful', 'C': 'savory'}"
16,,"TEXT: Thank you for helping to free us from the clutches of democracy and community and sharing.&lt;/saracasm&gt;
QUESTION: How is ""democracy"" being metaphorically described? Choose the best word from the options:""
 A) oppressive
 B) controled
 C) bright
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'controled': 'A', 'bright': 'B', 'oppressive': 'C'}","{'A': 'oppressive', 'B': 'controled', 'C': 'bright'}"
17,,"TEXT: There are good libertarian ideas that a global democracy nut like Gravel should find interesting such as jury nullification--if Gravel really wants to give power to ""the people""--but after hearing that interview with Scott Horton, Gravel just seemed too pig-headed to open his mind up to anything.
QUESTION: How is ""democracy"" being metaphorically described? Choose the best word from the options:""
 A) crunchy
 B) multifaceted
 C) insane
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'insane': 'A', 'multifaceted': 'B', 'crunchy': 'C'}","{'A': 'crunchy', 'B': 'multifaceted', 'C': 'insane'}"
18,,"TEXT: accurate characterization?In other words, have we reached the apex of democracy in which citizens are mobilized to provide a foundation for government?What about the people who do not watch Stewart or Colbert?Should we ignore them and emphasize that the existence of these programs
QUESTION: How is ""democracy"" being metaphorically described? Choose the best word from the options:""
 A) imperial
 B) quintessential
 C) accountable
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'quintessential': 'A', 'accountable': 'B', 'imperial': 'C'}","{'A': 'imperial', 'B': 'quintessential', 'C': 'accountable'}"
19,,"TEXT: But, insanity seems to be a regular affliction of Congress.
QUESTION: How is ""congress"" being metaphorically described? Choose the best word from the options:""
 A) impaired
 B) cooperative
 C) superficial
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'impaired': 'A', 'cooperative': 'B', 'superficial': 'C'}","{'A': 'impaired', 'B': 'cooperative', 'C': 'superficial'}"
20,,"TEXT: Without the blueprint of the Constitution and the Bill of Rights, our government would be more invasive in our lives than it already is.
QUESTION: How is ""constitution"" being metaphorically described? Choose the best word from the options:""
 A) generative
 B) temporary
 C) noisy
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'generative': 'A', 'noisy': 'B', 'temporary': 'C'}","{'A': 'generative', 'B': 'temporary', 'C': 'noisy'}"
21,,"TEXT: Timmerman's interviews with numerous factory workers make it clear that taking away their jobs is akin to creating a poverty tsunami.
QUESTION: How is ""poverty"" being metaphorically described? Choose the best word from the options:""
 A) lavish
 B) rapid increase
 C) still
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'rapid increase': 'A', 'still': 'B', 'lavish': 'C'}","{'A': 'lavish', 'B': 'rapid increase', 'C': 'still'}"
22,,"TEXT: These measures would help close the wealth chasm.
QUESTION: How is ""wealth"" being metaphorically described? Choose the best word from the options:""
 A) height
 B) plentiful
 C) restricted
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'height': 'A', 'plentiful': 'B', 'restricted': 'C'}","{'A': 'height', 'B': 'plentiful', 'C': 'restricted'}"
23,,"TEXT: Filed Under 24 Comments Â» Published: December 29, 2010 under Archived Featured Articles, Archived Guest Articles If you hired a wealth coach to help you build a seven-figure income by investing or starting a new business, would you expect to find yourself in bankruptcy court a year later, with your house on the auction block?
QUESTION: How is ""wealth"" being metaphorically described? Choose the best word from the options:""
 A) invisible
 B) expertise
 C) unpretentious
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'expertise': 'A', 'invisible': 'B', 'unpretentious': 'C'}","{'A': 'invisible', 'B': 'expertise', 'C': 'unpretentious'}"
24,,"TEXT: But in order to build your wealth shield against the threats posed by intrusive government, or what we call the â€œfederal leviathan,â€ central bank currency manipulation, corporatism and other exogenous threats, you have to remain nimble and flexible enough to be able to move our assets into specific areas of the equity, bond and commodity markets that, at any given time, could be outperforming other asset classes.
QUESTION: How is ""wealth"" being metaphorically described? Choose the best word from the options:""
 A) insubstantial
 B) protection
 C) fleeting
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'protection': 'A', 'fleeting': 'B', 'insubstantial': 'C'}","{'A': 'insubstantial', 'B': 'protection', 'C': 'fleeting'}"
