,0,normal_question,correct_letter,original,permutation
0,normal_question,"TEXT: Second Your Arhuing that if America Wantstovote emotionally to FRG us back 100 years in time,we should.Why I may ask,do you want to return to failed tariff wars and anti globalist great depression policies that ruined nearly every economy in the Western world????Do you realize no economy can be on top by producing and selling to itself,Infact those countries are almost always the poorest countries with the lowest standard of living.
ASSUMPTION: The wars are constructive.
QUESTION: How is ""tariff"" being metaphorically described based on the assumption? Choose the best word from the options:""
 A) placid
 B) tax
 C) destructive
 D) constructive
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",destructive,"{'destructive': 'A', 'constructive': 'B', 'tax': 'C', 'placid': 'D'}","{'A': 'placid', 'B': 'tax', 'C': 'destructive', 'D': 'constructive'}"
1,correct_letter,"TEXT: So yes, I believe as Bob, that much of what we read in scripture is focused on and around Israel and the Middle East, with judgements on the nations also for rejecting the truth and turning to idols of wealth, lust and false teachings.
ASSUMPTION: The idols are peripheral.
QUESTION: How is ""wealth"" being metaphorically described based on the assumption? Choose the best word from the options:""
 A) peripheral
 B) central
 C) unpretentious
 D) penniless
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",central,"{'central': 'A', 'peripheral': 'B', 'penniless': 'C', 'unpretentious': 'D'}","{'A': 'peripheral', 'B': 'central', 'C': 'unpretentious', 'D': 'penniless'}"
2,original,"TEXT: It can redeem the whole human scene through the understanding that addresses the roots of poverty, persecution, or other issues of deep concern.
ASSUMPTION: The roots are superficial.
QUESTION: How is ""poverty"" being metaphorically described based on the assumption? Choose the best word from the options:""
 A) flourishing
 B) fundamental
 C) lavish
 D) superficial
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",fundamental,"{'fundamental': 'A', 'superficial': 'B', 'lavish': 'C', 'flourishing': 'D'}","{'A': 'flourishing', 'B': 'fundamental', 'C': 'lavish', 'D': 'superficial'}"
3,permutation,"TEXT: Poverty and food security are heterogeneous phenomena in most countries; types and depth of poverty, measured in different ways, vary between and within countries and regions.
ASSUMPTION: A depth is flat.
QUESTION: How is ""poverty"" being metaphorically described based on the assumption? Choose the best word from the options:""
 A) trivial
 B) flat
 C) tiered
 D) empty
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",tiered,"{'tiered': 'A', 'flat': 'B', 'empty': 'C', 'trivial': 'D'}","{'A': 'trivial', 'B': 'flat', 'C': 'tiered', 'D': 'empty'}"
4,,"TEXT: Then Monday arrived and with it came an infestation of congressmen and women.
ASSUMPTION: An infestation is welcome.
QUESTION: How is ""congressmen"" being metaphorically described based on the assumption? Choose the best word from the options:""
 A) ethical
 B) unwelcome
 C) silent
 D) welcome
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",unwelcome,"{'unwelcome': 'A', 'welcome': 'B', 'ethical': 'C', 'silent': 'D'}","{'A': 'ethical', 'B': 'unwelcome', 'C': 'silent', 'D': 'welcome'}"
5,,"TEXT: Part III explains why elections do not deserve the label of beacon of democracy, given the record of past transitions to democracy.
ASSUMPTION: A beacon is mislead.
QUESTION: How is ""democracy"" being metaphorically described based on the assumption? Choose the best word from the options:""
 A) mislead
 B) guide
 C) disorganized
 D) oligarchic
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",guide,"{'guide': 'A', 'mislead': 'B', 'disorganized': 'C', 'oligarchic': 'D'}","{'A': 'mislead', 'B': 'guide', 'C': 'disorganized', 'D': 'oligarchic'}"
6,,"TEXT: It is all too common for countries attempting political transitions to achieve the forms but not the substance of democracy.
ASSUMPTION: A substance is superficial.
QUESTION: How is ""democracy"" being metaphorically described based on the assumption? Choose the best word from the options:""
 A) superficial
 B) fundamental
 C) accountable
 D) inflexible
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",fundamental,"{'fundamental': 'A', 'superficial': 'B', 'accountable': 'C', 'inflexible': 'D'}","{'A': 'superficial', 'B': 'fundamental', 'C': 'accountable', 'D': 'inflexible'}"
7,,"TEXT: News24 Home > MyNews24 > Your Story Planting the seeds of poverty View 109 Comments By: Kevin King 2011-05-11 13:00 Planting the seeds of poverty
ASSUMPTION: The seeds are follower.
QUESTION: How is ""poverty"" being metaphorically described based on the assumption? Choose the best word from the options:""
 A) follower
 B) originator
 C) luxurious
 D) flourishing
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",originator,"{'originator': 'A', 'follower': 'B', 'luxurious': 'C', 'flourishing': 'D'}","{'A': 'follower', 'B': 'originator', 'C': 'luxurious', 'D': 'flourishing'}"
8,,"TEXT: You do not feel your family clutching the heels of your feet as you climb up the ladder, out of the well of poverty, clinging and pushing away.
ASSUMPTION: A well is strengthening.
QUESTION: How is ""poverty"" being metaphorically described based on the assumption? Choose the best word from the options:""
 A) rich
 B) debilitating
 C) widespread
 D) strengthening
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",debilitating,"{'debilitating': 'A', 'strengthening': 'B', 'widespread': 'C', 'rich': 'D'}","{'A': 'rich', 'B': 'debilitating', 'C': 'widespread', 'D': 'strengthening'}"
9,,"TEXT: The Arab Spring arose from the prescription of political reform as the democracy cure for what ails the Muslim world.
ASSUMPTION: A cure is expiration.
QUESTION: How is ""democracy"" being metaphorically described based on the assumption? Choose the best word from the options:""
 A) expiration
 B) imperfect
 C) tyrannical
 D) renewal
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",renewal,"{'renewal': 'A', 'expiration': 'B', 'imperfect': 'C', 'tyrannical': 'D'}","{'A': 'expiration', 'B': 'imperfect', 'C': 'tyrannical', 'D': 'renewal'}"
