,0,normal_question,correct_letter,original,permutation
0,normal_question,"TEXT: Second Your Arhuing that if America Wantstovote emotionally to FRG us back 100 years in time,we should.Why I may ask,do you want to return to failed tariff wars and anti globalist great depression policies that ruined nearly every economy in the Western world????Do you realize no economy can be on top by producing and selling to itself,Infact those countries are almost always the poorest countries with the lowest standard of living.
ASSUMPTION: The wars are striqued.
QUESTION: How is ""tariff"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) destructive
 B) placid
 C) striqued
 D) policy
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",striqued,"{'destructive': 'A', 'striqued': 'B', 'policy': 'C', 'placid': 'D'}","{'A': 'destructive', 'B': 'placid', 'C': 'striqued', 'D': 'policy'}"
1,correct_letter,"TEXT: So yes, I believe as Bob, that much of what we read in scripture is focused on and around Israel and the Middle East, with judgements on the nations also for rejecting the truth and turning to idols of wealth, lust and false teachings.
ASSUMPTION: The idols are kefe.
QUESTION: How is ""wealth"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) shiny
 B) penniless
 C) central
 D) kefe
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",kefe,"{'central': 'A', 'kefe': 'B', 'shiny': 'C', 'penniless': 'D'}","{'A': 'shiny', 'B': 'penniless', 'C': 'central', 'D': 'kefe'}"
2,original,"TEXT: It can redeem the whole human scene through the understanding that addresses the roots of poverty, persecution, or other issues of deep concern.
ASSUMPTION: The roots are jace.
QUESTION: How is ""poverty"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) Lo
 B) jace
 C) lavish
 D) flourishing
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",jace,"{'Lo': 'A', 'jace': 'B', 'lavish': 'C', 'flourishing': 'D'}","{'A': 'Lo', 'B': 'jace', 'C': 'lavish', 'D': 'flourishing'}"
3,permutation,"TEXT: Poverty and food security are heterogeneous phenomena in most countries; types and depth of poverty, measured in different ways, vary between and within countries and regions.
ASSUMPTION: A depth is shipe.
QUESTION: How is ""poverty"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) minimal
 B) tiered
 C) shipe
 D) slight
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",shipe,"{'tiered': 'A', 'shipe': 'B', 'slight': 'C', 'minimal': 'D'}","{'A': 'minimal', 'B': 'tiered', 'C': 'shipe', 'D': 'slight'}"
4,,"TEXT: Then Monday arrived and with it came an infestation of congressmen and women.
ASSUMPTION: An infestation is weel.
QUESTION: How is ""congressmen"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) weel
 B) unwelcome
 C) ethical
 D) orderly
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",weel,"{'unwelcome': 'A', 'weel': 'B', 'ethical': 'C', 'orderly': 'D'}","{'A': 'weel', 'B': 'unwelcome', 'C': 'ethical', 'D': 'orderly'}"
5,,"TEXT: Part III explains why elections do not deserve the label of beacon of democracy, given the record of past transitions to democracy.
ASSUMPTION: A beacon is yiews.
QUESTION: How is ""democracy"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) imperfect
 B) guide
 C) tyrannical
 D) yiews
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",yiews,"{'guide': 'A', 'yiews': 'B', 'imperfect': 'C', 'tyrannical': 'D'}","{'A': 'imperfect', 'B': 'guide', 'C': 'tyrannical', 'D': 'yiews'}"
6,,"TEXT: It is all too common for countries attempting political transitions to achieve the forms but not the substance of democracy.
ASSUMPTION: A substance is happs.
QUESTION: How is ""democracy"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) fundamental
 B) happs
 C) participatory
 D) inflexible
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",happs,"{'fundamental': 'A', 'happs': 'B', 'participatory': 'C', 'inflexible': 'D'}","{'A': 'fundamental', 'B': 'happs', 'C': 'participatory', 'D': 'inflexible'}"
7,,"TEXT: News24 Home > MyNews24 > Your Story Planting the seeds of poverty View 109 Comments By: Kevin King 2011-05-11 13:00 Planting the seeds of poverty
ASSUMPTION: The seeds are cuft.
QUESTION: How is ""poverty"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) cuft
 B) luxurious
 C) originator
 D) harsh
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",cuft,"{'originator': 'A', 'cuft': 'B', 'harsh': 'C', 'luxurious': 'D'}","{'A': 'cuft', 'B': 'luxurious', 'C': 'originator', 'D': 'harsh'}"
8,,"TEXT: You do not feel your family clutching the heels of your feet as you climb up the ladder, out of the well of poverty, clinging and pushing away.
ASSUMPTION: A well is yiews.
QUESTION: How is ""poverty"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) debilitating
 B) yiews
 C) extreme
 D) rich
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",yiews,"{'debilitating': 'A', 'yiews': 'B', 'extreme': 'C', 'rich': 'D'}","{'A': 'debilitating', 'B': 'yiews', 'C': 'extreme', 'D': 'rich'}"
9,,"TEXT: The Arab Spring arose from the prescription of political reform as the democracy cure for what ails the Muslim world.
ASSUMPTION: A cure is weel.
QUESTION: How is ""democracy"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) imperfect
 B) weel
 C) renewal
 D) tyrannical
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",weel,"{'renewal': 'A', 'weel': 'B', 'imperfect': 'C', 'tyrannical': 'D'}","{'A': 'imperfect', 'B': 'weel', 'C': 'renewal', 'D': 'tyrannical'}"
