,0,normal_question,correct_letter,original,permutation
0,normal_question,"TEXT: Second Your Arhuing that if America Wantstovote emotionally to FRG us back 100 years in time,we should.Why I may ask,do you want to return to failed tariff wars and anti globalist great depression policies that ruined nearly every economy in the Western world????Do you realize no economy can be on top by producing and selling to itself,Infact those countries are almost always the poorest countries with the lowest standard of living.
ASSUMPTION: The wars are constructive.
QUESTION: How is ""disagreements"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) constructive
 B) placid
 C) destructive
 D) polite
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",destructive,"{'destructive': 'A', 'constructive': 'B', 'polite': 'C', 'placid': 'D'}","{'A': 'constructive', 'B': 'placid', 'C': 'destructive', 'D': 'polite'}"
1,correct_letter,"TEXT: So yes, I believe as Bob, that much of what we read in scripture is focused on and around Israel and the Middle East, with judgements on the nations also for rejecting the truth and turning to idols of wealth, lust and false teachings.
ASSUMPTION: The idols are peripheral.
QUESTION: How is ""desires"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) perceptible
 B) average
 C) central
 D) peripheral
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",central,"{'central': 'A', 'peripheral': 'B', 'average': 'C', 'perceptible': 'D'}","{'A': 'perceptible', 'B': 'average', 'C': 'central', 'D': 'peripheral'}"
2,original,"TEXT: It can redeem the whole human scene through the understanding that addresses the roots of poverty, persecution, or other issues of deep concern.
ASSUMPTION: The roots are hi.
QUESTION: How is ""causes"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) hi
 B) natural
 C) Lo
 D) superficial
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",Lo,"{'Lo': 'A', 'hi': 'B', 'superficial': 'C', 'natural': 'D'}","{'A': 'hi', 'B': 'natural', 'C': 'Lo', 'D': 'superficial'}"
3,permutation,"TEXT: Poverty and food security are heterogeneous phenomena in most countries; types and depth of poverty, measured in different ways, vary between and within countries and regions.
ASSUMPTION: A depth is flat.
QUESTION: How is ""severity"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) tiered
 B) trivial
 C) warm
 D) flat
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",tiered,"{'tiered': 'A', 'flat': 'B', 'warm': 'C', 'trivial': 'D'}","{'A': 'tiered', 'B': 'trivial', 'C': 'warm', 'D': 'flat'}"
4,,"TEXT: Then Monday arrived and with it came an infestation of congressmen and women.
ASSUMPTION: An infestation is welcome.
QUESTION: How is ""crowd"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) welcome
 B) solitary
 C) peaceful
 D) unwelcome
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",unwelcome,"{'unwelcome': 'A', 'welcome': 'B', 'peaceful': 'C', 'solitary': 'D'}","{'A': 'welcome', 'B': 'solitary', 'C': 'peaceful', 'D': 'unwelcome'}"
5,,"TEXT: Part III explains why elections do not deserve the label of beacon of democracy, given the record of past transitions to democracy.
ASSUMPTION: A beacon is mislead.
QUESTION: How is ""ideal"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) brittle
 B) guide
 C) unsteady
 D) mislead
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",guide,"{'guide': 'A', 'mislead': 'B', 'brittle': 'C', 'unsteady': 'D'}","{'A': 'brittle', 'B': 'guide', 'C': 'unsteady', 'D': 'mislead'}"
6,,"TEXT: It is all too common for countries attempting political transitions to achieve the forms but not the substance of democracy.
ASSUMPTION: A substance is superficial.
QUESTION: How is ""essence"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) fluffy
 B) thick
 C) superficial
 D) fundamental
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",fundamental,"{'fundamental': 'A', 'superficial': 'B', 'fluffy': 'C', 'thick': 'D'}","{'A': 'fluffy', 'B': 'thick', 'C': 'superficial', 'D': 'fundamental'}"
7,,"TEXT: News24 Home > MyNews24 > Your Story Planting the seeds of poverty View 109 Comments By: Kevin King 2011-05-11 13:00 Planting the seeds of poverty
ASSUMPTION: The seeds are follower.
QUESTION: How is ""causes"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) follower
 B) solid
 C) metallic
 D) originator
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",originator,"{'originator': 'A', 'follower': 'B', 'metallic': 'C', 'solid': 'D'}","{'A': 'follower', 'B': 'solid', 'C': 'metallic', 'D': 'originator'}"
8,,"TEXT: You do not feel your family clutching the heels of your feet as you climb up the ladder, out of the well of poverty, clinging and pushing away.
ASSUMPTION: A well is strengthening.
QUESTION: How is ""situation"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) grim
 B) strengthening
 C) narrow
 D) debilitating
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",debilitating,"{'debilitating': 'A', 'strengthening': 'B', 'grim': 'C', 'narrow': 'D'}","{'A': 'grim', 'B': 'strengthening', 'C': 'narrow', 'D': 'debilitating'}"
9,,"TEXT: The Arab Spring arose from the prescription of political reform as the democracy cure for what ails the Muslim world.
ASSUMPTION: A cure is expiration.
QUESTION: How is ""solution"" being metaphorically described based on the assumption? Choose the best option from the following:
 A) expiration
 B) unsatisfactory
 C) renewal
 D) toxic
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",renewal,"{'renewal': 'A', 'expiration': 'B', 'unsatisfactory': 'C', 'toxic': 'D'}","{'A': 'expiration', 'B': 'unsatisfactory', 'C': 'renewal', 'D': 'toxic'}"
