Unnamed: 0,prev_text,current_text,source,target,pos,original_target,source_pos,target_pos,noun_target,noun_target_score_1,original_target_score_1,noun_target_score_3,original_target_score_3,noun_target_actual_score_3,original_target_actual_score_3
0,"Yesimade a mistake,qe didnt cause Japan inflation,it was used to combat extreme deflation caused by their housing Bubblecrashing in 1989.","Second Your Arhuing that if America Wantstovote emotionally to FRG us back 100 years in time,we should.Why I may ask,do you want to return to failed tariff wars and anti globalist great depression policies that ruined nearly every economy in the Western world????Do you realize no economy can be on top by producing and selling to itself,Infact those countries are almost always the poorest countries with the lowest standard of living.
    ",wars,disagreements,"[('Second', 'ADV'), ('Your', 'PRON'), ('Arhuing', 'PROPN'), ('that', 'SCONJ'), ('if', 'SCONJ'), ('America', 'PROPN'), ('Wantstovote', 'PROPN'), ('emotionally', 'ADV'), ('to', 'ADP'), ('FRG', 'PROPN'), ('us', 'PRON'), ('back', 'ADV'), ('100', 'NUM'), ('years', 'NOUN'), ('in', 'ADP'), ('time', 'NOUN'), (',', 'PUNCT'), ('we', 'PRON'), ('should', 'AUX'), ('Why', 'SCONJ'), ('I', 'PRON'), ('may', 'AUX'), ('ask', 'VERB'), (',', 'PUNCT'), ('do', 'AUX'), ('you', 'PRON'), ('want', 'VERB'), ('to', 'PART'), ('return', 'VERB'), ('to', 'ADP'), ('failed', 'VERB'), ('tariff', 'NOUN'), ('wars', 'NOUN'), ('and', 'CCONJ'), ('anti', 'ADJ'), ('globalist', 'ADJ'), ('great', 'ADJ'), ('depression', 'NOUN'), ('policies', 'NOUN'), ('that', 'PRON'), ('ruined', 'VERB'), ('nearly', 'ADV'), ('every', 'PRON'), ('economy', 'NOUN'), ('in', 'ADP'), ('the', 'DET'), ('Western', 'ADJ'), ('world????Do', 'PRON'), ('you', 'PRON'), ('realize', 'VERB'), ('no', 'DET'), ('economy', 'NOUN'), ('can', 'AUX'), ('be', 'AUX'), ('on', 'ADP'), ('top', 'NOUN'), ('by', 'ADP'), ('producing', 'VERB'), ('and', 'CCONJ'), ('selling', 'VERB'), ('to', 'ADP'), ('itself', 'PRON'), (',', 'PUNCT'), ('Infact', 'PROPN'), ('those', 'DET'), ('countries', 'NOUN'), ('are', 'AUX'), ('almost', 'ADV'), ('always', 'ADV'), ('the', 'DET'), ('poorest', 'ADJ'), ('countries', 'NOUN'), ('with', 'ADP'), ('the', 'DET'), ('lowest', 'ADJ'), ('standard', 'NOUN'), ('of', 'ADP'), ('living', 'NOUN'), ('\n    ', 'SPACE')]",tariff,NOUN,"[('disagreements', 'NOUN')]",disagreements,0.16750691608304036,0.6817911315856566,0.375,0.6666666666666667,6.76132521974307e-05,0.09900990099009901
1,"We will see judgement of the nations that have rejected the word of truth and the salvation of God in Christ, and the baton of the gospel being passed over to the Jewish nation, as the gentiles fall away (by gentiles falling away I mean less and less people coming to faith in previously Christian gentile nations, not 'true' Christian's rejecting Christ) and the Jews come to believe, with the fullness of the Gentiles having come in.","So yes, I believe as Bob, that much of what we read in scripture is focused on and around Israel and the Middle East, with judgements on the nations also for rejecting the truth and turning to idols of wealth, lust and false teachings.
      ",idols,desires,"[('So', 'ADV'), ('yes', 'INTJ'), (',', 'PUNCT'), ('I', 'PRON'), ('believe', 'VERB'), ('as', 'ADP'), ('Bob', 'PROPN'), (',', 'PUNCT'), ('that', 'SCONJ'), ('much', 'ADJ'), ('of', 'ADP'), ('what', 'PRON'), ('we', 'PRON'), ('read', 'VERB'), ('in', 'ADP'), ('scripture', 'NOUN'), ('is', 'AUX'), ('focused', 'VERB'), ('on', 'ADP'), ('and', 'CCONJ'), ('around', 'ADP'), ('Israel', 'PROPN'), ('and', 'CCONJ'), ('the', 'DET'), ('Middle', 'PROPN'), ('East', 'PROPN'), (',', 'PUNCT'), ('with', 'ADP'), ('judgements', 'NOUN'), ('on', 'ADP'), ('the', 'DET'), ('nations', 'NOUN'), ('also', 'ADV'), ('for', 'ADP'), ('rejecting', 'VERB'), ('the', 'DET'), ('truth', 'NOUN'), ('and', 'CCONJ'), ('turning', 'VERB'), ('to', 'ADP'), ('idols', 'NOUN'), ('of', 'ADP'), ('wealth', 'NOUN'), (',', 'PUNCT'), ('lust', 'NOUN'), ('and', 'CCONJ'), ('false', 'ADJ'), ('teachings', 'NOUN'), ('\n      ', 'SPACE')]",wealth,NOUN,"[('desires', 'NOUN')]",desires,0.49795111121083646,0.2992696144197787,0.375,0.16666666666666674,0.0015889114266396213,0.07920792079207922
2,Doing good to others is a deeply Christian act that can go beyond giving food to one hungry man or woman.,"It can redeem the whole human scene through the understanding that addresses the roots of poverty, persecution, or other issues of deep concern.
      ",roots,causes,"[('It', 'PRON'), ('can', 'AUX'), ('redeem', 'VERB'), ('the', 'DET'), ('whole', 'ADJ'), ('human', 'ADJ'), ('scene', 'NOUN'), ('through', 'ADP'), ('the', 'DET'), ('understanding', 'NOUN'), ('that', 'PRON'), ('addresses', 'VERB'), ('the', 'DET'), ('roots', 'NOUN'), ('of', 'ADP'), ('poverty', 'NOUN'), (',', 'PUNCT'), ('persecution', 'NOUN'), (',', 'PUNCT'), ('or', 'CCONJ'), ('other', 'ADJ'), ('issues', 'NOUN'), ('of', 'ADP'), ('deep', 'ADJ'), ('concern', 'NOUN'), ('\n      ', 'SPACE')]",poverty,NOUN,"[('causes', 'VERB')]",causes,0.5894661856154078,0.25081129331499935,0.625,0.16666666666666674,0.00043948613928329947,0.0495049504950495
3,A joint publication of FAO's Economic and Social Department and Sustainable Development Department,"Poverty and food security are heterogeneous phenomena in most countries; types and depth of poverty, measured in different ways, vary between and within countries and regions.
      ",depth,severity,"[('Poverty', 'NOUN'), ('and', 'CCONJ'), ('food', 'NOUN'), ('security', 'NOUN'), ('are', 'AUX'), ('heterogeneous', 'ADJ'), ('phenomena', 'NOUN'), ('in', 'ADP'), ('most', 'ADJ'), ('countries', 'NOUN'), (';', 'PUNCT'), ('types', 'NOUN'), ('and', 'CCONJ'), ('depth', 'NOUN'), ('of', 'ADP'), ('poverty', 'NOUN'), (',', 'PUNCT'), ('measured', 'VERB'), ('in', 'ADP'), ('different', 'ADJ'), ('ways', 'NOUN'), (',', 'PUNCT'), ('vary', 'VERB'), ('between', 'ADP'), ('and', 'CCONJ'), ('within', 'ADP'), ('countries', 'NOUN'), ('and', 'CCONJ'), ('regions', 'NOUN'), ('\n      ', 'SPACE')]",poverty,NOUN,"[('severity', 'NOUN')]",severity,0.28668946648339444,0.25081129331499935,0.5,0.16666666666666674,6.76132521974307e-05,0.0495049504950495
4,"On Sunday, with the skies sunny and mostly clear, the oppressive heat that hung on all summer was finally gone and the cooler air of approaching autumn turned the nation's capital into a pleasant place.","Then Monday arrived and with it came an infestation of congressmen and women.
      ",infestation,crowd,"[('Then', 'ADV'), ('Monday', 'PROPN'), ('arrived', 'VERB'), ('and', 'CCONJ'), ('with', 'ADP'), ('it', 'PRON'), ('came', 'VERB'), ('an', 'DET'), ('infestation', 'NOUN'), ('of', 'ADP'), ('congressmen', 'NOUN'), ('and', 'CCONJ'), ('women', 'NOUN'), ('\n      ', 'SPACE')]",congressmen,NOUN,"[('crowd', 'VERB')]",crowd,0.3223587758234677,0.23902585024333156,0.375,0.3333333333333335,0.00033806626098715353,0.009900990099009903
5,"Part II examines what political theorist Samuel P. Huntington calls the “Third Wave” of democratization, a movement that has expanded democracy’s visibility but mangled its spirit.","Part III explains why elections do not deserve the label of beacon of democracy, given the record of past transitions to democracy.
      ",beacon,ideal,"[('Part', 'NOUN'), ('III', 'PROPN'), ('explains', 'VERB'), ('why', 'SCONJ'), ('elections', 'NOUN'), ('do', 'AUX'), ('not', 'PART'), ('deserve', 'VERB'), ('the', 'DET'), ('label', 'NOUN'), ('of', 'ADP'), ('beacon', 'NOUN'), ('of', 'ADP'), ('democracy', 'NOUN'), (',', 'PUNCT'), ('given', 'VERB'), ('the', 'DET'), ('record', 'NOUN'), ('of', 'ADP'), ('past', 'ADJ'), ('transitions', 'NOUN'), ('to', 'ADP'), ('democracy', 'NOUN'), ('\n      ', 'SPACE')]",democracy,NOUN,"[('ideal', 'ADJ')]",ideal,0.5440623068707235,0.15618580315477704,0.5,0.3333333333333335,0.0008451656524678837,0.0
6,"Nonetheless, it has become painfully clear that many countries face a tremendous struggle to make democracy work.","It is all too common for countries attempting political transitions to achieve the forms but not the substance of democracy.
      ",substance,essence,"[('It', 'PRON'), ('is', 'AUX'), ('all', 'ADV'), ('too', 'ADV'), ('common', 'ADJ'), ('for', 'ADP'), ('countries', 'NOUN'), ('attempting', 'VERB'), ('political', 'ADJ'), ('transitions', 'NOUN'), ('to', 'PART'), ('achieve', 'VERB'), ('the', 'DET'), ('forms', 'NOUN'), ('but', 'CCONJ'), ('not', 'PART'), ('the', 'DET'), ('substance', 'NOUN'), ('of', 'ADP'), ('democracy', 'NOUN'), ('\n      ', 'SPACE')]",democracy,NOUN,"[('essence', 'NOUN')]",essence,0.2501179648649894,0.15618580315477704,0.375,0.3333333333333335,0.00016903313049357674,0.0
7,SITES/SERVICES >,"News24 Home > MyNews24 > Your Story Planting the seeds of poverty View 109 Comments By: Kevin King 2011-05-11 13:00 Planting the seeds of poverty
      ",seeds,causes,"[('News24', 'PROPN'), ('Home', 'PROPN'), ('>', 'X'), ('MyNews24', 'PROPN'), ('>', 'PUNCT'), ('Your', 'PRON'), ('Story', 'NOUN'), ('Planting', 'VERB'), ('the', 'DET'), ('seeds', 'NOUN'), ('of', 'ADP'), ('poverty', 'NOUN'), ('View', 'PROPN'), ('109', 'NUM'), ('Comments', 'NOUN'), ('By', 'ADP'), (':', 'PUNCT'), ('Kevin', 'PROPN'), ('King', 'PROPN'), ('2011', 'NUM'), ('05', 'NUM'), ('11', 'NUM'), ('13:00', 'NUM'), ('Planting', 'VERB'), ('the', 'DET'), ('seeds', 'NOUN'), ('of', 'ADP'), ('poverty', 'NOUN'), ('\n      ', 'SPACE')]",poverty,NOUN,"[('causes', 'VERB')]",causes,0.5894661856154078,0.25081129331499935,0.625,0.16666666666666674,0.00043948613928329947,0.0495049504950495
8,"You sleep your guilt-free nights between your fresh sheets, while I work a second job to pay for my books, to have extra to send back.","You do not feel your family clutching the heels of your feet as you climb up the ladder, out of the well of poverty, clinging and pushing away.
      ",well,situation,"[('You', 'PRON'), ('do', 'AUX'), ('not', 'PART'), ('feel', 'VERB'), ('your', 'PRON'), ('family', 'NOUN'), ('clutching', 'VERB'), ('the', 'DET'), ('heels', 'NOUN'), ('of', 'ADP'), ('your', 'PRON'), ('feet', 'NOUN'), ('as', 'SCONJ'), ('you', 'PRON'), ('climb', 'VERB'), ('up', 'ADP'), ('the', 'DET'), ('ladder', 'NOUN'), (',', 'PUNCT'), ('out', 'ADP'), ('of', 'ADP'), ('the', 'DET'), ('well', 'NOUN'), ('of', 'ADP'), ('poverty', 'NOUN'), (',', 'PUNCT'), ('clinging', 'VERB'), ('and', 'CCONJ'), ('pushing', 'VERB'), ('away', 'ADV'), ('\n      ', 'SPACE')]",poverty,NOUN,"[('situation', 'NOUN')]",situation,0.4319581959125221,0.25081129331499935,0.25,0.16666666666666674,0.0025016903313049357,0.0495049504950495
9,"But after sacrificing blood and treasure to try out our cures in Kabul and Baghdad, in Cairo and Benghazi, it appears that not only are we are nowhere near a solution, but that there is no solution to be found.","The Arab Spring arose from the prescription of political reform as the democracy cure for what ails the Muslim world.
      ",cure,solution,"[('The', 'DET'), ('Arab', 'ADJ'), ('Spring', 'PROPN'), ('arose', 'VERB'), ('from', 'ADP'), ('the', 'DET'), ('prescription', 'NOUN'), ('of', 'ADP'), ('political', 'ADJ'), ('reform', 'NOUN'), ('as', 'ADP'), ('the', 'DET'), ('democracy', 'NOUN'), ('cure', 'NOUN'), ('for', 'ADP'), ('what', 'PRON'), ('ails', 'VERB'), ('the', 'DET'), ('Muslim', 'ADJ'), ('world', 'NOUN'), ('\n      ', 'SPACE')]",democracy,NOUN,"[('solution', 'NOUN')]",solution,0.47622156307917,0.15618580315477704,0.375,0.3333333333333335,0.0013184584178498986,0.0
