,normal_question,correct_letter,original,permutation
0,"TEXT: Second Your Arhuing that if America Wantstovote emotionally to FRG us back 100 years in time,we should.Why I may ask,do you want to return to failed tariff wars and anti globalist great depression policies that ruined nearly every economy in the Western world????Do you realize no economy can be on top by producing and selling to itself,Infact those countries are almost always the poorest countries with the lowest standard of living. Tariff is reciprocal.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) wars
 B) tool
 C) reciprocal
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'wars': 'A', 'tool': 'B', 'reciprocal': 'C'}","{'A': 'wars', 'B': 'tool', 'C': 'reciprocal'}"
1,"TEXT: So yes, I believe as Bob, that much of what we read in scripture is focused on and around Israel and the Middle East, with judgements on the nations also for rejecting the truth and turning to idols of wealth, lust and false teachings. Wealth is abundant.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) river
 B) abundant
 C) idols
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'idols': 'A', 'river': 'B', 'abundant': 'C'}","{'A': 'river', 'B': 'abundant', 'C': 'idols'}"
2,"TEXT: It can redeem the whole human scene through the understanding that addresses the roots of poverty, persecution, or other issues of deep concern. Poverty is widespread.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) roots
 B) widespread
 C) storm
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'roots': 'A', 'storm': 'B', 'widespread': 'C'}","{'A': 'roots', 'B': 'widespread', 'C': 'storm'}"
3,"TEXT: Poverty and food security are heterogeneous phenomena in most countries; types and depth of poverty, measured in different ways, vary between and within countries and regions. Poverty is widespread.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) depth
 B) widespread
 C) storm
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'depth': 'A', 'storm': 'B', 'widespread': 'C'}","{'A': 'depth', 'B': 'widespread', 'C': 'storm'}"
4,"TEXT: Then Monday arrived and with it came an infestation of congressmen and women. Congressmen is influential.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) cats
 B) influential
 C) infestation
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'infestation': 'A', 'cats': 'B', 'influential': 'C'}","{'A': 'cats', 'B': 'influential', 'C': 'infestation'}"
5,"TEXT: Part III explains why elections do not deserve the label of beacon of democracy, given the record of past transitions to democracy. Democracy is participatory.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) beacon
 B) participatory
 C) bridge
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",A,"{'beacon': 'A', 'bridge': 'B', 'participatory': 'C'}","{'A': 'beacon', 'B': 'participatory', 'C': 'bridge'}"
6,"TEXT: It is all too common for countries attempting political transitions to achieve the forms but not the substance of democracy. Democracy is participatory.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) bridge
 B) substance
 C) participatory
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",B,"{'substance': 'A', 'bridge': 'B', 'participatory': 'C'}","{'A': 'bridge', 'B': 'substance', 'C': 'participatory'}"
7,"TEXT: News24 Home > MyNews24 > Your Story Planting the seeds of poverty View 109 Comments By: Kevin King 2011-05-11 13:00 Planting the seeds of poverty Poverty is widespread.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) storm
 B) widespread
 C) seeds
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'seeds': 'A', 'storm': 'B', 'widespread': 'C'}","{'A': 'storm', 'B': 'widespread', 'C': 'seeds'}"
8,"TEXT: You do not feel your family clutching the heels of your feet as you climb up the ladder, out of the well of poverty, clinging and pushing away. Poverty is widespread.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) widespread
 B) storm
 C) well
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'well': 'A', 'storm': 'B', 'widespread': 'C'}","{'A': 'widespread', 'B': 'storm', 'C': 'well'}"
9,"TEXT: The Arab Spring arose from the prescription of political reform as the democracy cure for what ails the Muslim world. Democracy is participatory.
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) bridge
 B) participatory
 C) cure
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",C,"{'cure': 'A', 'bridge': 'B', 'participatory': 'C'}","{'A': 'bridge', 'B': 'participatory', 'C': 'cure'}"
